sample	technology	alignment	bases_mapped_cigar
HG002	ont	mm2-ont	18601777
HG002	ont	mm2-pb	18396830
HG002	ont	pbmm2-ont	18183599
HG002	ont	pbmm2-pb	18079243
HG002	pb	mm2-ont	13502595
HG002	pb	mm2-pb	13462607
HG002	pb	pbmm2-ont	13386641
HG002	pb	pbmm2-pb	13387151
HG003	ont	mm2-ont	12492154
HG003	ont	mm2-pb	12367445
HG003	ont	pbmm2-ont	12202204
HG003	ont	pbmm2-pb	12115625
HG003	pb	mm2-ont	14048332
HG003	pb	mm2-pb	14032287
HG003	pb	pbmm2-ont	13932129
HG003	pb	pbmm2-pb	13886669
HG004	ont	mm2-ont	13436376
HG004	ont	mm2-pb	13294688
HG004	ont	pbmm2-ont	13082137
HG004	ont	pbmm2-pb	13030881
HG004	pb	mm2-ont	14380461
HG004	pb	mm2-pb	14362861
HG004	pb	pbmm2-ont	14273546
HG004	pb	pbmm2-pb	14251638
