sample	read_technology	aligner	preset	configuration	statistics_file	raw_total_sequences	reads_mapped	reads_unmapped	mapped_reads_percent	total_length	bases_mapped	bases_mapped_cigar	mapped_bases_percent	mismatches	error_rate	error_percent	insertions	deletions	average_length	maximum_length	non_primary_alignments	reads_mq0	supplementary_alignments	threads	samtools_version	reads_mq0_percent	secondary_alignments_per_100_mapped_reads	supplementary_alignments_per_100_mapped_reads	wallclock_runtime_hms	wallclock_runtime_seconds	wallclock_runtime_hours	wallclock_runtime_source_log	vacmap_internal_runtime_hms	vacmap_internal_runtime_seconds	vacmap_internal_runtime_hours	vacmap_internal_runtime_source_log	runtime_configuration	cpu_time_seconds	peak_ram_gb
HG002	ONT	minimap2	map-ont	mm2-ont	samtools_stats_30x_Christian/HG002_ont_30x.hg38.mm2-ont.cram.stats.SN.txt	5203769	5118735	85034	98.3659	94189961259	94097151347	93672651095	99.9015	3023080751	0.03227282	3.2273			18100.0	1316343	1689872	22248	423684	64	1.24	0.4346386363036961	33.01346914813914	8.277123156404855	02:29:57	8996.708	2.499085555555556	mm2.run_metrics.tsv					mm2-ont	507928.011	37.653
HG002	ONT	pbmm2	SUBREAD	pbmm2-ont	samtools_stats_30x_Christian/HG002_ont_30x.hg38.pbmm2-ont.cram.stats.SN.txt	5203769	5108067	95702	98.1609	94189961259	94039378623	93060440064	99.8401	2714103858	0.02916496	2.9165			18100.0	1316343	0	19925	452451	64	1.24	0.3900692766950785	0.0	8.857577631616813	01:44:00	6240	1.733333333333	alignment_analysis/logs/Logs_files_pbmm2/HG002.ont.30x.hg38.pbmm2-ont.cram.log					pbmm2-ont	288000	67.138
HG002	ONT	VACmap	vacmap-ont	vacmap-ont	samtools_stats_30x_Christian/vacmap_vg_stats/HG002.ont.30x.hg38.vacmap-ont.cram.stats	5059858	5059858	0	100.0	93627269049	93627269049	92300240225	100.0	1656074371	0.01794225	1.7942			18504.0	1316343	0	86635	4167631	16	1.24	1.7122022001407944	0.0	82.36656048450371	13:55:16	50116.0	13.921111111111111	alignment_analysis/logs/logs_VG_VACmap/HG002.ont.30x.hg38.vacmap-ont.map_sort.log	12:35:45	45345.0	12.595833333333331	alignment_analysis/logs/logs_VG_VACmap/HG002.ont.30x.hg38.vacmap-ont.map_sort.log			
HG002	ONT	VG Giraffe	vg-ont	vg-ont	samtools_stats_30x_Christian/vacmap_vg_stats/HG002.ont.30x.hg38.vg-ont.cram.stats	5203769	4917366	286403	94.4962	94189961259	89507090889	86681314674	95.0283	2002497278	0.02310183	2.3102			18100.0	1316343	0	28282	0	16	1.24	0.5751453115346712	0.0	0.0	03:26:23	12383.0	3.439722222222222	alignment_analysis/logs/logs_VG_VACmap/HG002.ont.30x.hg38.vg-ont.map_sort.log							
HG002	PacBio	minimap2	map-hifi	mm2-pb	samtools_stats_30x_Christian/HG002_pb_30x.hg38.mm2-pb.cram.stats.SN.txt	6736453	6719594	16859	99.7497	94336001094	94164369675	94078039439	99.8181	1309235275	0.01391648	1.3916			14004.0	51415	1552619	10300	242071	64	1.24	0.153283070375978	23.105845382920457	3.602464672716834	01:07:09	4029.433	1.1192869444444444	mm2.run_metrics.tsv					mm2-pb	185504.353	41.785
HG002	PacBio	pbmm2	CCS	pbmm2-pb	samtools_stats_30x_Christian/HG002_pb_30x.hg38.pbmm2-pb.cram.stats.SN.txt	6736453	6733791	2662	99.9605	94336001094	94310552692	93857101555	99.973	1143804337	0.01218666	1.2187			14004.0	51415	0	10380	353403	64	1.24	0.1541479383604272	0.0	5.248202684045287											
HG002	PacBio	VACmap	vacmap-pb	vacmap-pb	samtools_stats_30x_Christian/vacmap_vg_stats/HG002.pb.30x.hg38.vacmap-pb.cram.stats	6701060	6701060	0	100.0	93937282132	93937282132	93724543203	100.0	650022117	0.00693545	0.6935			14018.0	51415	0	86715	2935653	16	1.24	1.2940490012027948	0.0	43.8087854757307	09:30:57	34257.0	9.515833333333331	alignment_analysis/logs/logs_VG_VACmap/HG002.pb.30x.hg38.vacmap-pb.map_sort.log	09:00:14	32414.0	9.00388888888889	alignment_analysis/logs/logs_VG_VACmap/HG002.pb.30x.hg38.vacmap-pb.map_sort.log			
HG002	PacBio	VG Giraffe	vg-pb	vg-pb	samtools_stats_30x_Christian/vacmap_vg_stats/HG002.pb.30x.hg38.vg-pb.cram.stats	6736453	6714908	21545	99.6802	94336001094	94086662461	93392245219	99.7357	999901444	0.01070647	1.0706			14003.0	51415	0	31806	0	16	1.24	0.4736624835366322	0.0	0.0	03:48:05	13685.0	3.801388888888889	alignment_analysis/logs/logs_VG_VACmap/HG002.pb.30x.hg38.vg-pb.map_sort.log							
HG003	ONT	minimap2	map-ont	mm2-ont	samtools_stats_30x_Christian/HG003_ont_30x.hg38.mm2-ont.cram.stats.SN.txt	6938685	6534420	404265	94.1738	94906798668	94643907161	94296387842	99.723	2647718996	0.02807869	2.8079			13678.0	1365688	2209813	62459	564497	64	1.24	0.9558461194719654	33.81804352949459	8.638823338567157	02:32:20	9139.646	2.538790555555556	mm2.run_metrics.tsv					mm2-ont	521136.819	36.486
HG003	ONT	pbmm2	SUBREAD	pbmm2-ont	samtools_stats_30x_Christian/HG003_ont_30x.hg38.pbmm2-ont.cram.stats.SN.txt	6938685	6509045	429640	93.808	94906798668	94557542126	93653338869	99.632	2331047806	0.02489017	2.489			13678.0	1365688	0	54901	579684	64	1.24	0.8434570662823808	0.0	8.905822589949832	01:37:00	5820	1.616666666667	alignment_analysis/logs/Logs_files_pbmm2/HG003.ont.30x.hg38.pbmm2-ont.cram.log					pbmm2-ont	262800	62.660
