sample	read_technology	coverage	dataset	reference	aligner	preset	mapper_tag	configuration	statistics_file	cram_file	raw_total_sequences	reads_mapped	reads_unmapped	mapped_reads_percent	reads_mq0	reads_mq0_percent	mapq_mean	mapq_median	secondary_alignments	secondary_alignments_per_100_mapped_reads	supplementary_alignments	supplementary_alignments_per_100_mapped_reads	total_length	bases_mapped	bases_mapped_cigar	mapped_bases_percent	mismatches	error_rate	error_percent	insertion_events	deletion_events	inserted_bases	deleted_bases	insertion_events_per_100kb	deletion_events_per_100kb	soft_clipped_bases	soft_clipped_percent	average_length	maximum_length	mean_coverage	median_coverage	breadth_1x_percent	breadth_10x_percent	breadth_20x_percent	breadth_30x_percent	runtime_seconds	peak_ram_mb	threads	aligner_version	samtools_version	aligner_docker_image	samtools_docker_image	metrics_complete	missing_metrics
HG002	ONT	1k	HG002.ont.1k	hg38	VACMap	vacmap-ont	vacmap-ont	vacmap-ont	cram/HG002.ont.1k.hg38.vacmap-ont.cram.stats	cram/HG002.ont.1k.hg38.vacmap-ont.cram	996	996	0	100	173	17.369478	39.968876	60	0	0	1890	189.759036	18636662	18636662	18421180	100	344115	0.01868	1.86804	43150	68146	67870	138630	234.241238	369.932871	NA	NA	18712	315783	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG002	ONT	30x	HG002.ont.30x	hg38	minimap2	map-ont	mm2-ont	mm2-ont	samtools_stats_30x_Christian/HG002_ont_30x.hg38.mm2-ont.cram.stats.SN.txt	NA	5203769	5118735	85034	98.365915	22248	0.434639	NA	NA	1689872	33.013469	423684	8.277123	94189961259	94097151347	93672651095	99.901465	3023080751	0.032273	3.227282	NA	NA	NA	NA	NA	NA	NA	NA	18100	1316343	NA	NA	NA	NA	NA	NA	8996.708	38556.672	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG002	ONT	30x	HG002.ont.30x	hg38	pbmm2	SUBREAD	pbmm2-ont	pbmm2-ont	samtools_stats_30x_Christian/HG002_ont_30x.hg38.pbmm2-ont.cram.stats.SN.txt	NA	5203769	5108067	95702	98.16091	19925	0.390069	NA	NA	0	0	452451	8.857578	94189961259	94039378623	93060440064	99.840129	2714103858	0.029165	2.916496	NA	NA	NA	NA	NA	NA	NA	NA	18100	1316343	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG002	ONT	30x	HG002.ont.30x	hg38	VACMap	vacmap-ont	vacmap-ont	vacmap-ont	cram/HG002.ont.30x.hg38.vacmap-ont.cram.stats	cram/HG002.ont.30x.hg38.vacmap-ont.cram	5059858	5059858	0	100	86635	1.712202	58.200911	60	0	0	4167631	82.36656	93627269049	93627269049	92300240225	100	1656074371	0.017942	1.794225	190143603	267752961	323847395	498263131	206.005534	290.089127	NA	NA	18504	1316343	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG002	ONT	30x	HG002.ont.30x	hg38	VG Giraffe	vg-ont	vg-ont	vg-ont	cram/HG002.ont.30x.hg38.vg-ont.cram.stats	cram/HG002.ont.30x.hg38.vg-ont.cram	5203769	4917366	286403	94.496239	28282	0.575145	NA	NA	0	0	0	0	94189961259	89507090889	86681314674	95.02827	2002497278	0.023102	2.310183	168524998	221826502	382641470	483178167	194.419061	255.910403	NA	NA	18100	1316343	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	mapq_mean,mapq_median,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG002	PacBio	1k	HG002.pb.1k	hg38	pbmm2	CCS/HIFI	pbmm2-pb	pbmm2-pb	alignment_analysis/tables/HG002.pb.1k.pbmm2-ccs.samtools_stats.txt	NA	1000	1000	0	100	48	4.8	36.41	51	0	0	117	11.7	13469698	13469698	13387151	100	171472	0.012809	1.28087	10984	9343	45375	24013	82.048824	69.790802	NA	NA	13470	32674	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG002	PacBio	1k	HG002.pb.1k	hg38	VACMap	vacmap-pb	vacmap-pb	vacmap-pb	cram/HG002.pb.1k.hg38.vacmap-pb.cram.stats	cram/HG002.pb.1k.hg38.vacmap-pb.cram	1000	1000	0	100	218	21.8	41.318	60	0	0	483	48.3	13469698	13469698	13414690	100	61744	0.004603	0.460272	10600	10340	14826	17572	79.017853	77.079679	NA	NA	13470	32674	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG002	PacBio	30x	HG002.pb.30x	hg38	minimap2	map-hifi	mm2-pb	mm2-pb	samtools_stats_30x_Christian/HG002_pb_30x.hg38.mm2-pb.cram.stats.SN.txt	NA	6736453	6719594	16859	99.749735	10300	0.153283	NA	NA	1552619	23.105845	242071	3.602465	94336001094	94164369675	94078039439	99.818064	1309235275	0.013916	1.391648	77100083	62970213	180173202	173210959	81.953327	66.934019	NA	NA	14004	51415	NA	NA	NA	NA	NA	NA	4029.433	42787.84	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG002	PacBio	30x	HG002.pb.30x	hg38	pbmm2	CCS/HIFI	pbmm2-pb	pbmm2-pb	samtools_stats_30x_Christian/HG002_pb_30x.hg38.pbmm2-pb.cram.stats.SN.txt	NA	6736453	6733791	2662	99.960484	10380	0.154148	NA	NA	0	0	353403	5.248203	94336001094	94310552692	93857101555	99.973024	1143804337	0.012187	1.218666	77025868	63109423	180779762	169860872	82.067171	67.239902	NA	NA	14004	51415	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG002	PacBio	30x	HG002.pb.30x	hg38	VACMap	vacmap-pb	vacmap-pb	vacmap-pb	cram/HG002.pb.30x.hg38.vacmap-pb.cram.stats	cram/HG002.pb.30x.hg38.vacmap-pb.cram	6701060	6701060	0	100	86715	1.294049	58.702994	60	0	0	2935653	43.808785	93937282132	93937282132	93724543203	100	650022117	0.006935	0.693545	76279800	63514981	117084194	126333328	81.38722	67.767715	NA	NA	14018	51415	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
