sample	read_technology	aligner	supplementary_alignments_per_100_mapped_reads	secondary_alignments_per_100_mapped_reads
HG002	ONT	VACmap	82.36656048450371	0.0
HG003	ONT	VACmap	64.00748215987089	0.0
HG004	ONT	VACmap	60.02084208351462	0.0
HG002	ONT	VG Giraffe	0.0	0.0
HG003	ONT	VG Giraffe	0.0	0.0
HG004	ONT	VG Giraffe	0.0	0.0
HG002	ONT	minimap2	8.277123156404855	33.01346914813914
HG003	ONT	minimap2	8.638823338567157	33.81804352949459
HG004	ONT	minimap2	6.556705410614748	29.7549100900894
HG002	ONT	pbmm2	8.857577631616813	0.0
HG003	ONT	pbmm2	8.905822589949832	0.0
HG004	ONT	pbmm2	7.638597296039349	0.0
HG002	PacBio	VACmap	43.8087854757307	0.0
HG003	PacBio	VACmap	42.07155551084733	0.0
HG004	PacBio	VACmap	42.81135533260053	0.0
HG002	PacBio	VG Giraffe	0.0	0.0
HG003	PacBio	VG Giraffe	0.0	0.0
HG004	PacBio	VG Giraffe	0.0	0.0
HG002	PacBio	minimap2	3.602464672716834	23.105845382920457
HG003	PacBio	minimap2	3.802924506941981	22.27262243058322
HG004	PacBio	minimap2	3.5054016716074505	19.415096398931908
HG002	PacBio	pbmm2	5.248202684045287	0.0
HG003	PacBio	pbmm2	5.310730963715447	0.0
HG004	PacBio	pbmm2	5.06138233174427	0.0
