sample	read_technology	aligner	total_length	bases_mapped_cigar	mismatches	cigar_mapped_percent	cigar_unaligned_percent	mismatch_total_percent	aligned_non_mismatch_percent
HG002	ONT	minimap2	94189961259	93672651095	3023080751	99.45077993760128	0.5492200623987173	3.2095572719127117	96.24122266568858
HG003	ONT	minimap2	94906798668	94296387842	2647718996	99.35683129705458	0.6431687029454167	2.78980961655041	96.56702168050417
HG004	ONT	minimap2	93459874103	92835949268	2621022211	99.33241421413388	0.6675857858661232	2.804435846031026	96.52797836810285
HG002	ONT	pbmm2	94189961259	93060440064	2714103858	98.80080511776188	1.1991948822381175	2.881521365675966	95.9192837520859
HG003	ONT	pbmm2	94906798668	93653338869	2331047806	98.67927291132766	1.3207270886723421	2.456144173774524	96.22312873755313
HG004	ONT	pbmm2	93459874103	92288524529	2325377914	98.74668184047725	1.253318159522749	2.48810298143271	96.25857885904455
HG002	ONT	VACmap	93627269049	92300240225	1656074371	98.58264708831196	1.4173529116880417	1.7687949118042636	96.8138521765077
HG003	ONT	VACmap	94171462471	93096950059	1379388723	98.8589829829489	1.141017017051098	1.4647629831858895	97.39421999976301
HG004	ONT	VACmap	92775444750	91682370246	1356167535	98.82180623661198	1.1781937633880233	1.4617742212440323	97.36003201536795
HG002	ONT	VG Giraffe	94189961259	86681314674	2002497278	92.02818805249	7.971811947510005	2.1260198552302283	89.90216819725978
HG003	ONT	VG Giraffe	94906798668	87970816405	1775550287	92.69179620391239	7.308203796087611	1.87083571663941	90.82096048727298
HG004	ONT	VG Giraffe	93459874103	87357823095	1782054868	93.4709402654715	6.529059734528502	1.9067593286462574	91.56418093682525
HG002	PacBio	minimap2	94336001094	94078039439	1309235275	99.72655014839673	0.2734498516032744	1.387842668564494	98.33870747983224
HG003	PacBio	minimap2	93293694245	93073206292	1250359813	99.76366253391042	0.23633746608958006	1.3402404343817824	98.42342209952864
HG004	PacBio	minimap2	93684058210	93484009557	1192442444	99.78646457377884	0.2135354262211564	1.2728338916820285	98.51363068209682
HG002	PacBio	pbmm2	94336001094	93857101555	1143804337	99.49234700067177	0.5076529993282293	1.2124791423586734	98.2798678583131
HG003	PacBio	pbmm2	93293694245	92847445611	1095509707	99.52167331606775	0.4783266839322522	1.1742591135077844	98.34741420255997
HG004	PacBio	pbmm2	93684058210	93277553639	1057309585	99.5660899209887	0.43391007901129797	1.128590717782485	98.43749920320622
HG002	PacBio	VACmap	93937282132	93724543203	650022117	99.7735308876607	0.22646911233930211	0.6919745837298055	99.0815563039309
HG003	PacBio	VACmap	92941941630	92734592987	644784006	99.77690519547627	0.22309480452372554	0.6937492317159374	99.08315596376033
HG004	PacBio	VACmap	93391532444	93234395565	595946684	99.83174397626013	0.1682560237398718	0.6381163992114008	99.19362757704874
HG002	PacBio	VG Giraffe	94336001094	93392245219	999901444	98.99958036798739	1.0004196320126084	1.0599362198993998	97.93964414808801
HG003	PacBio	VG Giraffe	93293694245	92386682869	977409807	99.0277891948216	0.9722108051784062	1.0476697432874822	97.98011945153411
HG004	PacBio	VG Giraffe	93684058210	92825159183	933595539	99.08319617722505	0.916803822774952	0.9965361843177993	98.08665999290724
