sample	read_technology	aligner	total_length	common_input_bases	bases_mapped_cigar	mismatches	cigar_mapped_percent_internal	cigar_unaligned_percent_internal	mismatch_total_percent	mismatch_error_calculated_percent	error_percent	error_percent_difference	input_normalized_cigar_yield_percent	input_normalized_cigar_unaligned_percent	error_adjusted_cigar_yield_percent
HG002	ONT	minimap2	94189961259	94189961259	93672651095	3023080751	99.45077993760128	0.5492200623987094	3.2095572719127117	3.227282152967019	3.2273	-1.7847032981244126e-05	99.45077993760128	0.5492200623987094	96.24122266568858
HG003	ONT	minimap2	94906798668	94906798668	94296387842	2647718996	99.35683129705458	0.6431687029454234	2.78980961655041	2.807868950862076	2.8079	-3.104913792384423e-05	99.35683129705458	0.6431687029454234	96.56702168050417
HG004	ONT	minimap2	93459874103	93459874103	92835949268	2621022211	99.33241421413388	0.6675857858661212	2.804435846031026	2.8232836866175623	2.8233	-1.6313382437793678e-05	99.33241421413388	0.6675857858661212	96.52797836810285
HG002	ONT	pbmm2	94189961259	94189961259	93060440064	2714103858	98.80080511776188	1.1991948822381244	2.881521365675966	2.9164958344635408	2.9165	-4.165536459321828e-06	98.80080511776188	1.1991948822381244	95.9192837520859
HG003	ONT	pbmm2	94906798668	94906798668	93653338869	2331047806	98.67927291132766	1.3207270886723446	2.456144173774524	2.489017299490638	2.489	1.7299490638222892e-05	98.67927291132766	1.3207270886723446	96.22312873755313
HG004	ONT	pbmm2	93459874103	93459874103	92288524529	2325377914	98.74668184047725	1.2533181595227512	2.48810298143271	2.5196826212876466	2.5197	-1.7378712353188774e-05	98.74668184047725	1.2533181595227512	96.25857885904455
HG002	ONT	VACmap	93627269049	94189961259	92300240225	1656074371	98.58264708831196	1.4173529116880437	1.7687949118042636	1.794225418008656	1.7942	2.541800865607513e-05	97.99371290874225	2.0062870912577577	96.23548480368316
HG003	ONT	VACmap	94171462471	94906798668	93096950059	1379388723	98.8589829829489	1.1410170170510996	1.4647629831858895	1.4816690795195926	1.4817	-3.09204804074259e-05	98.09302533179824	1.906974668201754	96.63961130629167
HG004	ONT	VACmap	92775444750	93459874103	91682370246	1356167535	98.82180623661198	1.178193763388022	1.4617742212440323	1.4792020879926675	1.4792	2.0879926674322036e-06	98.09811015255482	1.9018898474451758	96.64704085889689
HG002	ONT	VG Giraffe	94189961259	94189961259	86681314674	2002497278	92.02818805249	7.971811947509997	2.1260198552302283	2.3101833255889086	2.3102	-1.6674411091432972e-05	92.02818805249	7.971811947509997	89.90216819725978
HG003	ONT	VG Giraffe	94906798668	94906798668	87970816405	1775550287	92.69179620391239	7.308203796087609	1.87083571663941	2.018340126372958	2.0183	4.0126372958138035e-05	92.69179620391239	7.308203796087609	90.82096048727298
HG004	ONT	VG Giraffe	93459874103	93459874103	87357823095	1782054868	93.4709402654715	6.529059734528497	1.9067593286462574	2.039948804656051	2.0399	4.8804656051171236e-05	93.4709402654715	6.529059734528497	91.56418093682525
HG002	PacBio	minimap2	94336001094	94336001094	94078039439	1309235275	99.72655014839673	0.27344985160326774	1.387842668564494	1.391648128306187	1.3916	4.8128306187056324e-05	99.72655014839673	0.27344985160326774	98.33870747983224
HG003	PacBio	minimap2	93293694245	93293694245	93073206292	1250359813	99.76366253391042	0.23633746608958717	1.3402404343817824	1.3434154283642352	1.3434	1.542836423529259e-05	99.76366253391042	0.23633746608958717	98.42342209952864
HG004	PacBio	minimap2	93684058210	93684058210	93484009557	1192442444	99.78646457377884	0.21353542622115665	1.2728338916820285	1.2755576591662259	1.2756	-4.23408337741904e-05	99.78646457377884	0.21353542622115665	98.51363068209682
HG002	PacBio	pbmm2	94336001094	94336001094	93857101555	1143804337	99.49234700067177	0.5076529993282269	1.2124791423586734	1.21866573551681	1.2187	-3.4264483189883066e-05	99.49234700067177	0.5076529993282269	98.2798678583131
HG003	PacBio	pbmm2	93293694245	93293694245	92847445611	1095509707	99.52167331606775	0.47832668393224903	1.1742591135077844	1.1799029039418298	1.1799	2.9039418298903996e-06	99.52167331606775	0.47832668393224903	98.34741420255997
HG004	PacBio	pbmm2	93684058210	93684058210	93277553639	1057309585	99.5660899209887	0.43391007901129647	1.128590717782485	1.13350912813598	1.1335	9.128135979974417e-06	99.5660899209887	0.43391007901129647	98.43749920320622
HG002	PacBio	VACmap	93937282132	94336001094	93724543203	650022117	99.7735308876607	0.22646911233929543	0.6919745837298055	0.6935452495000196	0.6935	4.524950001960626e-05	99.35182975331897	0.6481702466810311	98.66277985777347
HG003	PacBio	VACmap	92941941630	93293694245	92734592987	644784006	99.77690519547627	0.22309480452372166	0.6937492317159374	0.6953004108082828	0.6953	4.1080828272477277e-07	99.4007084160139	0.5992915839860898	98.70957488205102
HG004	PacBio	VACmap	93391532444	93684058210	93234395565	595946684	99.83174397626013	0.16825602373986462	0.6381163992114008	0.6391918780494751	0.6392	-8.121950524908605e-06	99.52002223901098	0.4799777609890113	98.8838983398262
HG002	PacBio	VG Giraffe	94336001094	94336001094	93392245219	999901444	98.99958036798739	1.000419632012603	1.0599362198993998	1.0706471845229575	1.0706	4.718452295748854e-05	98.99958036798739	1.000419632012603	97.93964414808801
HG003	PacBio	VG Giraffe	93293694245	93293694245	92386682869	977409807	99.0277891948216	0.9722108051784117	1.0476697432874822	1.0579552990184975	1.058	-4.4700981502554527e-05	99.0277891948216	0.9722108051784117	97.98011945153411
HG004	PacBio	VG Giraffe	93684058210	93684058210	92825159183	933595539	99.08319617722505	0.9168038227749612	0.9965361843177993	1.0057570029688445	1.0058	-4.299703115551168e-05	99.08319617722505	0.9168038227749612	98.08665999290724
