sample	read_technology	aligner	total_length	common_input_bases	bases_mapped_cigar	mismatches	input_normalized_cigar_yield_percent	error_percent	calculated_mismatch_error_percent	error_percent_difference	error_adjusted_cigar_yield_percent
HG002	ONT	minimap2	94189961259	94189961259	93672651095	3023080751	99.45077993760128	3.2273	3.227282152967019	-1.7847032981244126e-05	96.24122266568858
HG002	ONT	pbmm2	94189961259	94189961259	93060440064	2714103858	98.80080511776188	2.9165	2.9164958344635408	-4.165536459321828e-06	95.9192837520859
HG002	ONT	VACmap	93627269049	94189961259	92300240225	1656074371	97.99371290874225	1.7942	1.794225418008656	2.541800865607513e-05	96.23548480368316
HG002	ONT	VG Giraffe	94189961259	94189961259	86681314674	2002497278	92.02818805249	2.3102	2.3101833255889086	-1.6674411091432972e-05	89.90216819725978
HG002	PacBio	minimap2	94336001094	94336001094	94078039439	1309235275	99.72655014839673	1.3916	1.391648128306187	4.8128306187056324e-05	98.33870747983224
HG002	PacBio	pbmm2	94336001094	94336001094	93857101555	1143804337	99.49234700067177	1.2187	1.21866573551681	-3.4264483189883066e-05	98.2798678583131
HG002	PacBio	VACmap	93937282132	94336001094	93724543203	650022117	99.35182975331897	0.6935	0.6935452495000196	4.524950001960626e-05	98.66277985777347
HG002	PacBio	VG Giraffe	94336001094	94336001094	93392245219	999901444	98.99958036798739	1.0706	1.0706471845229575	4.718452295748854e-05	97.93964414808801
HG003	ONT	minimap2	94906798668	94906798668	94296387842	2647718996	99.35683129705458	2.8079	2.807868950862076	-3.104913792384423e-05	96.56702168050417
HG003	ONT	pbmm2	94906798668	94906798668	93653338869	2331047806	98.67927291132766	2.489	2.489017299490638	1.7299490638222892e-05	96.22312873755313
HG003	ONT	VACmap	94171462471	94906798668	93096950059	1379388723	98.09302533179824	1.4817	1.4816690795195926	-3.09204804074259e-05	96.63961130629167
HG003	ONT	VG Giraffe	94906798668	94906798668	87970816405	1775550287	92.69179620391239	2.0183	2.018340126372958	4.0126372958138035e-05	90.82096048727298
HG003	PacBio	minimap2	93293694245	93293694245	93073206292	1250359813	99.76366253391042	1.3434	1.3434154283642352	1.542836423529259e-05	98.42342209952864
HG003	PacBio	pbmm2	93293694245	93293694245	92847445611	1095509707	99.52167331606775	1.1799	1.1799029039418298	2.9039418298903996e-06	98.34741420255997
HG003	PacBio	VACmap	92941941630	93293694245	92734592987	644784006	99.4007084160139	0.6953	0.6953004108082828	4.1080828272477277e-07	98.70957488205102
HG003	PacBio	VG Giraffe	93293694245	93293694245	92386682869	977409807	99.0277891948216	1.058	1.0579552990184975	-4.4700981502554527e-05	97.98011945153411
HG004	ONT	minimap2	93459874103	93459874103	92835949268	2621022211	99.33241421413388	2.8233	2.8232836866175623	-1.6313382437793678e-05	96.52797836810285
HG004	ONT	pbmm2	93459874103	93459874103	92288524529	2325377914	98.74668184047725	2.5197	2.5196826212876466	-1.7378712353188774e-05	96.25857885904455
HG004	ONT	VACmap	92775444750	93459874103	91682370246	1356167535	98.09811015255482	1.4792	1.4792020879926675	2.0879926674322036e-06	96.64704085889689
HG004	ONT	VG Giraffe	93459874103	93459874103	87357823095	1782054868	93.4709402654715	2.0399	2.039948804656051	4.8804656051171236e-05	91.56418093682525
HG004	PacBio	minimap2	93684058210	93684058210	93484009557	1192442444	99.78646457377884	1.2756	1.2755576591662259	-4.23408337741904e-05	98.51363068209682
HG004	PacBio	pbmm2	93684058210	93684058210	93277553639	1057309585	99.5660899209887	1.1335	1.13350912813598	9.128135979974417e-06	98.43749920320622
HG004	PacBio	VACmap	93391532444	93684058210	93234395565	595946684	99.52002223901098	0.6392	0.6391918780494751	-8.121950524908605e-06	98.8838983398262
HG004	PacBio	VG Giraffe	93684058210	93684058210	92825159183	933595539	99.08319617722505	1.0058	1.0057570029688445	-4.299703115551168e-05	98.08665999290724
