sample	read_technology	aligner	input_normalized_cigar_yield_percent	error_percent
HG002	ONT	minimap2	99.45077993760128	3.2273
HG003	ONT	minimap2	99.35683129705458	2.8079
HG004	ONT	minimap2	99.33241421413388	2.8233
HG002	ONT	pbmm2	98.80080511776188	2.9165
HG003	ONT	pbmm2	98.67927291132766	2.489
HG004	ONT	pbmm2	98.74668184047725	2.5197
HG002	ONT	VACmap	97.99371290874225	1.7942
HG003	ONT	VACmap	98.09302533179824	1.4817
HG004	ONT	VACmap	98.09811015255482	1.4792
HG002	ONT	VG Giraffe	92.02818805249	2.3102
HG003	ONT	VG Giraffe	92.69179620391239	2.0183
HG004	ONT	VG Giraffe	93.4709402654715	2.0399
HG002	PacBio	minimap2	99.72655014839673	1.3916
HG003	PacBio	minimap2	99.76366253391042	1.3434
HG004	PacBio	minimap2	99.78646457377884	1.2756
HG002	PacBio	pbmm2	99.49234700067177	1.2187
HG003	PacBio	pbmm2	99.52167331606775	1.1799
HG004	PacBio	pbmm2	99.5660899209887	1.1335
HG002	PacBio	VACmap	99.35182975331897	0.6935
HG003	PacBio	VACmap	99.4007084160139	0.6953
HG004	PacBio	VACmap	99.52002223901098	0.6392
HG002	PacBio	VG Giraffe	98.99958036798739	1.0706
HG003	PacBio	VG Giraffe	99.0277891948216	1.058
HG004	PacBio	VG Giraffe	99.08319617722505	1.0058
