sample	read_technology	aligner	insertion_events	deletion_events	inserted_bases	deleted_bases	insertion_events_per_100kb	deletion_events_per_100kb
HG002	ONT	VACmap	190143603.0	267752961.0	323847395.0	498263131.0	206.005534	290.089127
HG003	ONT	VACmap	143924303.0	197448698.0	255471058.0	393409608.0	154.596153	212.08933
HG004	ONT	VACmap	148141306.0	206070162.0	260149321.0	411639096.0	161.581017	224.765308
HG002	ONT	VG Giraffe	168524998.0	221826502.0	382641470.0	483178167.0	194.419061	255.910403
HG003	ONT	VG Giraffe	128969664.0	165286778.0	315124787.0	377011524.0	146.605055	187.888194
HG004	ONT	VG Giraffe						
HG002	ONT	minimap2						
HG003	ONT	minimap2						
HG004	ONT	minimap2						
HG002	ONT	pbmm2						
HG003	ONT	pbmm2						
HG004	ONT	pbmm2						
HG002	PacBio	VACmap	76279800.0	63514981.0	117084194.0	126333328.0	81.38722	67.767715
HG003	PacBio	VACmap	73087977.0	66277465.0	112245012.0	128274952.0	78.814145	71.470055
HG004	PacBio	VACmap	76420235.0	71847081.0	113841627.0	129459951.0	81.965711	77.060703
HG002	PacBio	VG Giraffe	81298202.0	67671196.0	211989171.0	192850378.0	87.05027	72.459117
HG003	PacBio	VG Giraffe	77525623.0	69743433.0	202077176.0	189799825.0	83.914284	75.490786
HG004	PacBio	VG Giraffe	80757772.0	75230355.0	200119361.0	189770008.0	86.999875	81.045221
HG002	PacBio	minimap2	77100083.0	62970213.0	180173202.0	173210959.0	81.953327	66.934019
HG003	PacBio	minimap2	73532063.0	65509216.0	172627319.0	173984294.0	79.004545	70.384613
HG004	PacBio	minimap2	77346513.0	71071516.0	173526310.0	170046945.0	82.737693	76.025318
HG002	PacBio	pbmm2	77025868.0	63109423.0	180779762.0	169860872.0	82.067171	67.239902
HG003	PacBio	pbmm2	73467898.0	65549210.0	172871559.0	169233332.0	79.127538	70.59883
HG004	PacBio	pbmm2	77121743.0	71118305.0	173132353.0	167694362.0	82.679852	76.24375
