sample	aligner	preset	category	insertion_events	deletion_events	inserted_bases	deleted_bases	insertion_events_per_100kb	deletion_events_per_100kb	source_file
HG002	minimap2	Native preset (mm2-pb / pbmm2-pb)	minimap2 (pb)	77100083	62970213	180173202	173210959	81.95332668469513	66.93401922010689	alignment_analysis/statistics_cram_files/HG002.pb.30x.hg38.mm2-pb.cram.stats
HG003	minimap2	Native preset (mm2-pb / pbmm2-pb)	minimap2 (pb)	73532063	65509216	172627319	173984294	79.00454484108641	70.38461294056738	alignment_analysis/statistics_cram_files/HG003.pb.30x.hg38.mm2-pb.cram.stats
HG004	minimap2	Native preset (mm2-pb / pbmm2-pb)	minimap2 (pb)	77346513	71071516	173526310	170046945	82.73769318039308	76.02531848686439	alignment_analysis/statistics_cram_files/HG004.pb.30x.hg38.mm2-pb.cram.stats
HG002	minimap2	ONT-tuned preset (mm2-ont / pbmm2-ont, cross-check)	minimap2 (ont)	87837634	77506742	201498673	250910936	93.08608940422472	82.1379081686351	alignment_analysis/statistics_cram_files/HG002.pb.30x.hg38.mm2-ont.cram.stats
HG003	minimap2	ONT-tuned preset (mm2-ont / pbmm2-ont, cross-check)	minimap2 (ont)	83692259	78721304	194360525	238923590	89.67795696743414	84.35147762629158	alignment_analysis/statistics_cram_files/HG003.pb.30x.hg38.mm2-ont.cram.stats
HG004	minimap2	ONT-tuned preset (mm2-ont / pbmm2-ont, cross-check)	minimap2 (ont)	86357319	83770980	188637536	242803208	92.15219400839392	89.39230270955132	alignment_analysis/statistics_cram_files/HG004.pb.30x.hg38.mm2-ont.cram.stats
HG002	pbmm2	Native preset (mm2-pb / pbmm2-pb)	pbmm2 (pb)	77025868	63109423	180779762	169860872	82.06717096933049	67.23990188746458	alignment_analysis/statistics_cram_files/HG002.pb.30x.hg38.pbmm2-pb.cram.stats
HG003	pbmm2	Native preset (mm2-pb / pbmm2-pb)	pbmm2 (pb)	73467898	65549210	172871559	169233332	79.12753820692723	70.59882969169604	alignment_analysis/statistics_cram_files/HG003.pb.30x.hg38.pbmm2-pb.cram.stats
HG004	pbmm2	Native preset (mm2-pb / pbmm2-pb)	pbmm2 (pb)	77121743	71118305	173132353	167694362	82.67985168058144	76.24375021158889	alignment_analysis/statistics_cram_files/HG004.pb.30x.hg38.pbmm2-pb.cram.stats
HG002	pbmm2	ONT-tuned preset (mm2-ont / pbmm2-ont, cross-check)	pbmm2 (ont)	84094825	71314424	189166318	218798374	89.2735160225442	75.70607791386105	alignment_analysis/statistics_cram_files/HG002.pb.30x.hg38.pbmm2-ont.cram.stats
HG003	pbmm2	ONT-tuned preset (mm2-ont / pbmm2-ont, cross-check)	pbmm2 (ont)	80082087	73140913	181274242	210042763	85.96259395770576	78.511722676694	alignment_analysis/statistics_cram_files/HG003.pb.30x.hg38.pbmm2-ont.cram.stats
HG004	pbmm2	ONT-tuned preset (mm2-ont / pbmm2-ont, cross-check)	pbmm2 (ont)	83207858	78415833	178200921	212745060	88.93426395097872	83.81244941983564	alignment_analysis/statistics_cram_files/HG004.pb.30x.hg38.pbmm2-ont.cram.stats
