sample	read_technology	aligner	total_length	common_input_bases	bases_mapped_cigar	input_normalized_cigar_yield_percent
HG002	ONT	minimap2	94189961259	94189961259	93672651095	99.45077993760128
HG002	ONT	pbmm2	94189961259	94189961259	93060440064	98.80080511776188
HG002	ONT	VACmap	93627269049	94189961259	92300240225	97.99371290874225
HG002	ONT	VG Giraffe	94189961259	94189961259	86681314674	92.02818805249
HG002	PacBio	minimap2	94336001094	94336001094	94078039439	99.72655014839673
HG002	PacBio	pbmm2	94336001094	94336001094	93857101555	99.49234700067177
HG002	PacBio	VACmap	93937282132	94336001094	93724543203	99.35182975331897
HG002	PacBio	VG Giraffe	94336001094	94336001094	93392245219	98.99958036798739
HG003	ONT	minimap2	94906798668	94906798668	94296387842	99.35683129705458
HG003	ONT	pbmm2	94906798668	94906798668	93653338869	98.67927291132766
HG003	ONT	VACmap	94171462471	94906798668	93096950059	98.09302533179824
HG003	ONT	VG Giraffe	94906798668	94906798668	87970816405	92.69179620391239
HG003	PacBio	minimap2	93293694245	93293694245	93073206292	99.76366253391042
HG003	PacBio	pbmm2	93293694245	93293694245	92847445611	99.52167331606775
HG003	PacBio	VACmap	92941941630	93293694245	92734592987	99.4007084160139
HG003	PacBio	VG Giraffe	93293694245	93293694245	92386682869	99.0277891948216
HG004	ONT	minimap2	93459874103	93459874103	92835949268	99.33241421413388
HG004	ONT	pbmm2	93459874103	93459874103	92288524529	98.74668184047725
HG004	ONT	VACmap	92775444750	93459874103	91682370246	98.09811015255482
HG004	ONT	VG Giraffe	93459874103	93459874103	87357823095	93.4709402654715
HG004	PacBio	minimap2	93684058210	93684058210	93484009557	99.78646457377884
HG004	PacBio	pbmm2	93684058210	93684058210	93277553639	99.5660899209887
HG004	PacBio	VACmap	93391532444	93684058210	93234395565	99.52002223901098
HG004	PacBio	VG Giraffe	93684058210	93684058210	92825159183	99.08319617722505
