sample	read_technology	aligner	total_length	bases_mapped	reads_unmapped	raw_input_bases	dropped_unmapped_bases	mapped_bases_percent	unmapped_bases_percent
HG002	ONT	minimap2	94189961259	94097151347	85034	94189961259	0	99.90146517658629	0.09853482341371489
HG003	ONT	minimap2	94906798668	94643907161	404265	94906798668	0	99.72300034276823	0.27699965723176945
HG004	ONT	minimap2	93459874103	93244324332	304942	93459874103	0	99.76936650828092	0.23063349171907532
HG002	ONT	pbmm2	94189961259	94039378623	95702	94189961259	0	99.84012878444027	0.1598712155597326
HG003	ONT	pbmm2	94906798668	94557542126	429640	94906798668	0	99.63200050270186	0.3679994972981433
HG004	ONT	pbmm2	93459874103	93162323710	328101	93459874103	0	99.68162765480288	0.318372345197119
HG002	ONT	VACmap	93627269049	93627269049	0	94189961259	562692210	99.40259853334823	0.5974014666517746
HG003	ONT	VACmap	94171462471	94171462471	0	94906798668	735336197	99.22520176918798	0.7747982308120243
HG004	ONT	VACmap	92775444750	92775444750	0	93459874103	684429353	99.26767571691173	0.7323242830882748
HG002	ONT	VG Giraffe	94189961259	89507090889	286403	94189961259	0	95.02827020267773	4.9717297973222685
HG003	ONT	VG Giraffe	94906798668	90452716036	499322	94906798668	0	95.30688771035136	4.693112289648639
HG004	ONT	VG Giraffe	93459874103	89347659978	430112	93459874103	0	95.60002175856987	4.399978241430134
HG002	PacBio	minimap2	94336001094	94164369675	16859	94336001094	0	99.81806371161633	0.1819362883836675
HG003	PacBio	minimap2	93293694245	93143250746	14247	93293694245	0	99.83874204980573	0.16125795019426903
HG004	PacBio	minimap2	93684058210	93543426134	13829	93684058210	0	99.84988686582645	0.15011313417355154
HG002	PacBio	pbmm2	94336001094	94310552692	2662	94336001094	0	99.9730236583013	0.026976341698699002
HG003	PacBio	pbmm2	93293694245	93268858653	2513	93293694245	0	99.97337913113958	0.026620868860419478
HG004	PacBio	pbmm2	93684058210	93665424495	1975	93684058210	0	99.98011004715633	0.01988995284366979
HG002	PacBio	VACmap	93937282132	93937282132	0	94336001094	398718962	99.57734167510164	0.4226583248983644
HG003	PacBio	VACmap	92941941630	92941941630	0	93293694245	351752615	99.62296206850138	0.3770379314986201
HG004	PacBio	VACmap	93391532444	93391532444	0	93684058210	292525766	99.68775288817626	0.3122471118237371
HG002	PacBio	VG Giraffe	94336001094	94086662461	21545	94336001094	0	99.7356909026157	0.26430909738429875
HG003	PacBio	VG Giraffe	93293694245	93070386820	18826	93293694245	0	99.76064038753405	0.23935961246594673
HG004	PacBio	VG Giraffe	93684058210	93479245879	17296	93684058210	0	99.78137974068022	0.2186202593197777
