sample	read_technology	aligner	raw_total_sequences	reads_mapped	reads_unmapped	raw_input_reads	dropped_unmapped_reads	mapped_reads_percent	unmapped_reads_percent
HG002	ONT	minimap2	5203769	5118735	85034	5203769	0	98.36591516648798	1.63408483351202
HG003	ONT	minimap2	6938685	6534420	404265	6938685	0	94.17375194291137	5.826248057088634
HG004	ONT	minimap2	7046468	6741526	304942	7046468	0	95.67241347012433	4.327586529875674
HG002	ONT	pbmm2	5203769	5108067	95702	5203769	0	98.1609099097212	1.8390900902788019
HG003	ONT	pbmm2	6938685	6509045	429640	6938685	0	93.80804864322275	6.191951356777253
HG004	ONT	pbmm2	7046468	6718367	328101	7046468	0	95.34375235933804	4.6562476406619595
HG002	ONT	VACmap	5059858	5059858	0	5203769	143911	97.23448523560519	2.7655147643948084
HG003	ONT	VACmap	6428625	6428625	0	6938685	510060	92.64903940732286	7.35096059267714
HG004	ONT	VACmap	6630815	6630815	0	7046468	415653	94.10125753781895	5.898742462181048
HG002	ONT	VG Giraffe	5203769	4917366	286403	5203769	0	94.49623916818751	5.503760831812485
HG003	ONT	VG Giraffe	6938685	6439363	499322	6938685	0	92.80379495538419	7.196205044615809
HG004	ONT	VG Giraffe	7046468	6616356	430112	7046468	0	93.89606253799776	6.103937462002236
HG002	PacBio	minimap2	6736453	6719594	16859	6736453	0	99.74973476397743	0.250265236022571
HG003	PacBio	minimap2	6621583	6607336	14247	6621583	0	99.78483996953598	0.21516003046401977
HG004	PacBio	minimap2	6491546	6477717	13829	6491546	0	99.78696908255753	0.21303091744246672
HG002	PacBio	pbmm2	6736453	6733791	2662	6736453	0	99.96048365512236	0.03951634487764011
HG003	PacBio	pbmm2	6621583	6619070	2513	6621583	0	99.96204835006976	0.037951649930235476
HG004	PacBio	pbmm2	6491546	6489571	1975	6491546	0	99.9695758144516	0.030424185548397986
HG002	PacBio	VACmap	6701060	6701060	0	6736453	35393	99.47460481057315	0.5253951894268454
HG003	PacBio	VACmap	6590883	6590883	0	6621583	30700	99.53636464271459	0.46363535728541194
HG004	PacBio	VACmap	6465579	6465579	0	6491546	25967	99.59998742980486	0.4000125701951447
HG002	PacBio	VG Giraffe	6736453	6714908	21545	6736453	0	99.68017293373828	0.3198270662617233
HG003	PacBio	VG Giraffe	6621583	6602757	18826	6621583	0	99.71568732129462	0.28431267870537624
HG004	PacBio	VG Giraffe	6491546	6474250	17296	6491546	0	99.73356115785053	0.2664388421494692
