sample	read_technology	aligner	reads_mq0	reads_mapped	reads_mq0_percent
HG002	ONT	minimap2	22248	5118735	0.43463863630369615
HG003	ONT	minimap2	62459	6534420	0.9558461194719654
HG004	ONT	minimap2	58199	6741526	0.8632911895615325
HG002	ONT	pbmm2	19925	5108067	0.39006927669507857
HG003	ONT	pbmm2	54901	6509045	0.8434570662823808
HG004	ONT	pbmm2	52433	6718367	0.7804426283946679
HG002	ONT	VACmap	86635	5059858	1.7122022001407944
HG003	ONT	VACmap	127832	6428625	1.9884812071010518
HG004	ONT	VACmap	111031	6630815	1.6744698803993172
HG002	ONT	VG Giraffe	28282	4917366	0.5751453115346712
HG003	ONT	VG Giraffe	118442	6439363	1.8393434257394714
HG004	ONT	VG Giraffe	94928	6616356	1.4347474652210372
HG002	PacBio	minimap2	10300	6719594	0.15328307037597808
HG003	PacBio	minimap2	9259	6607336	0.14013211981349216
HG004	PacBio	minimap2	9167	6477717	0.14151590753347204
HG002	PacBio	pbmm2	10380	6733791	0.15414793836042728
HG003	PacBio	pbmm2	9379	6619070	0.14169664318401226
HG004	PacBio	pbmm2	9274	6489571	0.1429062105954307
HG002	PacBio	VACmap	86715	6701060	1.2940490012027948
HG003	PacBio	VACmap	81763	6590883	1.240546979820458
HG004	PacBio	VACmap	65151	6465579	1.0076591748395618
HG002	PacBio	VG Giraffe	31806	6714908	0.4736624835366322
HG003	PacBio	VG Giraffe	28591	6602757	0.4330160870678718
HG004	PacBio	VG Giraffe	20138	6474250	0.311047611692474
