sample	read_technology	aligner	reads_mq0_percent
HG002	ONT	minimap2	0.4346386363036961
HG003	ONT	minimap2	0.9558461194719654
HG004	ONT	minimap2	0.8632911895615325
HG002	ONT	pbmm2	0.3900692766950785
HG003	ONT	pbmm2	0.8434570662823808
HG004	ONT	pbmm2	0.7804426283946679
HG002	ONT	VACmap	1.7122022001407944
HG003	ONT	VACmap	1.988481207101052
HG004	ONT	VACmap	1.6744698803993172
HG002	ONT	VG Giraffe	0.5751453115346712
HG003	ONT	VG Giraffe	1.8393434257394716
HG004	ONT	VG Giraffe	1.4347474652210372
HG002	PacBio	minimap2	0.153283070375978
HG003	PacBio	minimap2	0.1401321198134921
HG004	PacBio	minimap2	0.141515907533472
HG002	PacBio	pbmm2	0.1541479383604272
HG003	PacBio	pbmm2	0.1416966431840122
HG004	PacBio	pbmm2	0.1429062105954307
HG002	PacBio	VACmap	1.2940490012027948
HG003	PacBio	VACmap	1.240546979820458
HG004	PacBio	VACmap	1.0076591748395618
HG002	PacBio	VG Giraffe	0.4736624835366322
HG003	PacBio	VG Giraffe	0.4330160870678718
HG004	PacBio	VG Giraffe	0.311047611692474
