sample	read_technology	aligner	raw_input_bases	raw_input_gb	cigar_aligned_bases	cigar_aligned_gb	cigar_unaligned_bases	cigar_unaligned_gb
HG002	ONT	minimap2	94189961259	94.189961259	93672651095	93.672651095	517310164	0.517310164
HG003	ONT	minimap2	94906798668	94.906798668	94296387842	94.296387842	610410826	0.610410826
HG004	ONT	minimap2	93459874103	93.459874103	92835949268	92.835949268	623924835	0.623924835
HG002	ONT	pbmm2	94189961259	94.189961259	93060440064	93.060440064	1129521195	1.129521195
HG003	ONT	pbmm2	94906798668	94.906798668	93653338869	93.653338869	1253459799	1.253459799
HG004	ONT	pbmm2	93459874103	93.459874103	92288524529	92.288524529	1171349574	1.171349574
HG002	ONT	VACmap	94189961259	94.189961259	92300240225	92.300240225	1889721034	1.889721034
HG003	ONT	VACmap	94906798668	94.906798668	93096950059	93.096950059	1809848609	1.809848609
HG004	ONT	VACmap	93459874103	93.459874103	91682370246	91.682370246	1777503857	1.777503857
HG002	ONT	VG Giraffe	94189961259	94.189961259	86681314674	86.681314674	7508646585	7.508646585
HG003	ONT	VG Giraffe	94906798668	94.906798668	87970816405	87.970816405	6935982263	6.935982263
HG004	ONT	VG Giraffe	93459874103	93.459874103	87357823095	87.357823095	6102051008	6.102051008
HG002	PacBio	minimap2	94336001094	94.336001094	94078039439	94.078039439	257961655	0.257961655
HG003	PacBio	minimap2	93293694245	93.293694245	93073206292	93.073206292	220487953	0.220487953
HG004	PacBio	minimap2	93684058210	93.68405821	93484009557	93.484009557	200048653	0.200048653
HG002	PacBio	pbmm2	94336001094	94.336001094	93857101555	93.857101555	478899539	0.478899539
HG003	PacBio	pbmm2	93293694245	93.293694245	92847445611	92.847445611	446248634	0.446248634
HG004	PacBio	pbmm2	93684058210	93.68405821	93277553639	93.277553639	406504571	0.406504571
HG002	PacBio	VACmap	94336001094	94.336001094	93724543203	93.724543203	611457891	0.611457891
HG003	PacBio	VACmap	93293694245	93.293694245	92734592987	92.734592987	559101258	0.559101258
HG004	PacBio	VACmap	93684058210	93.68405821	93234395565	93.234395565	449662645	0.449662645
HG002	PacBio	VG Giraffe	94336001094	94.336001094	93392245219	93.392245219	943755875	0.943755875
HG003	PacBio	VG Giraffe	93293694245	93.293694245	92386682869	92.386682869	907011376	0.907011376
HG004	PacBio	VG Giraffe	93684058210	93.68405821	92825159183	92.825159183	858899027	0.858899027
