sample	read_technology	aligner	raw_total_sequences	reads_mapped	input_reads_proxy	read_retention_percent	input_normalized_mapped_reads_percent
HG002	ONT	minimap2	5203769	5118735	5203769	100.0	98.36591516648798
HG002	ONT	pbmm2	5203769	5108067	5203769	100.0	98.1609099097212
HG002	ONT	VACMap	5059858	5059858	5203769	97.23448523560519	97.23448523560519
HG002	ONT	VG Giraffe	5203769	4917366	5203769	100.0	94.49623916818751
HG002	PacBio	minimap2	6736453	6719594	6736453	100.0	99.74973476397743
HG002	PacBio	pbmm2	6736453	6733791	6736453	100.0	99.96048365512236
HG002	PacBio	VACMap	6701060	6701060	6736453	99.47460481057315	99.47460481057315
HG002	PacBio	VG Giraffe	6736453	6714908	6736453	100.0	99.68017293373828
HG003	ONT	minimap2	6938685	6534420	6938685	100.0	94.17375194291137
HG003	ONT	pbmm2	6938685	6509045	6938685	100.0	93.80804864322275
HG003	ONT	VACMap	6428625	6428625	6938685	92.64903940732286	92.64903940732286
HG003	ONT	VG Giraffe	6938685	6439363	6938685	100.0	92.80379495538419
HG003	PacBio	minimap2	6621583	6607336	6621583	100.0	99.78483996953598
HG003	PacBio	pbmm2	6621583	6619070	6621583	100.0	99.96204835006976
HG003	PacBio	VACMap	6590883	6590883	6621583	99.53636464271459	99.53636464271459
HG003	PacBio	VG Giraffe	6621583	6602757	6621583	100.0	99.71568732129462
HG004	ONT	minimap2	7046468	6741526	7046468	100.0	95.67241347012433
HG004	ONT	pbmm2	7046468	6718367	7046468	100.0	95.34375235933804
HG004	ONT	VACMap	6630815	6630815	7046468	94.10125753781895	94.10125753781895
HG004	ONT	VG Giraffe	7046468	6616356	7046468	100.0	93.89606253799776
HG004	PacBio	minimap2	6491546	6477717	6491546	100.0	99.78696908255753
HG004	PacBio	pbmm2	6491546	6489571	6491546	100.0	99.9695758144516
HG004	PacBio	VACMap	6465579	6465579	6491546	99.59998742980486	99.59998742980486
HG004	PacBio	VG Giraffe	6491546	6474250	6491546	100.0	99.73356115785053
