sample	read_technology	aligner	preset	configuration	statistics_file	raw_total_sequences	reads_mapped	reads_unmapped	mapped_reads_percent	total_length	bases_mapped	bases_mapped_cigar	mapped_bases_percent	mismatches	error_rate	error_percent	insertions	deletions	average_length	maximum_length	non_primary_alignments	reads_mq0	supplementary_alignments	threads	samtools_version	reads_mq0_percent	secondary_alignments_per_100_mapped_reads	supplementary_alignments_per_100_mapped_reads
HG002	ONT	minimap2	map-ont	mm2-ont	samtools_stats_30x_Christian/HG002_ont_30x.hg38.mm2-ont.cram.stats.SN.txt	5203769	5118735	85034	98.3659	94189961259	94097151347	93672651095	99.9015	3023080751	0.03227282	3.2273			18100.0	1316343	1689872	22248	423684	64	1.24	0.43463863630369615	33.01346914813914	8.277123156404855
HG002	ONT	pbmm2	SUBREAD	pbmm2-ont	samtools_stats_30x_Christian/HG002_ont_30x.hg38.pbmm2-ont.cram.stats.SN.txt	5203769	5108067	95702	98.1609	94189961259	94039378623	93060440064	99.8401	2714103858	0.02916496	2.9165			18100.0	1316343	0	19925	452451	64	1.24	0.39006927669507857	0.0	8.857577631616813
HG002	ONT	VACmap	vacmap-ont	vacmap-ont	samtools_stats_30x_Christian/vacmap_vg_stats/HG002.ont.30x.hg38.vacmap-ont.cram.stats	5059858	5059858	0	100.0	93627269049	93627269049	92300240225	100.0	1656074371	0.01794225	1.7942			18504.0	1316343	0	86635	4167631	16	1.24	1.7122022001407944	0.0	82.36656048450371
HG002	ONT	VG Giraffe	vg-ont	vg-ont	samtools_stats_30x_Christian/vacmap_vg_stats/HG002.ont.30x.hg38.vg-ont.cram.stats	5203769	4917366	286403	94.4962	94189961259	89507090889	86681314674	95.0283	2002497278	0.02310183	2.3102			18100.0	1316343	0	28282	0	16	1.24	0.5751453115346712	0.0	0.0
HG002	PacBio	minimap2	map-hifi	mm2-pb	samtools_stats_30x_Christian/HG002_pb_30x.hg38.mm2-pb.cram.stats.SN.txt	6736453	6719594	16859	99.7497	94336001094	94164369675	94078039439	99.8181	1309235275	0.01391648	1.3916			14004.0	51415	1552619	10300	242071	64	1.24	0.15328307037597808	23.105845382920457	3.602464672716834
HG002	PacBio	pbmm2	CCS	pbmm2-pb	samtools_stats_30x_Christian/HG002_pb_30x.hg38.pbmm2-pb.cram.stats.SN.txt	6736453	6733791	2662	99.9605	94336001094	94310552692	93857101555	99.973	1143804337	0.01218666	1.2187			14004.0	51415	0	10380	353403	64	1.24	0.15414793836042728	0.0	5.248202684045287
HG002	PacBio	VACmap	vacmap-pb	vacmap-pb	samtools_stats_30x_Christian/vacmap_vg_stats/HG002.pb.30x.hg38.vacmap-pb.cram.stats	6701060	6701060	0	100.0	93937282132	93937282132	93724543203	100.0	650022117	0.00693545	0.6935			14018.0	51415	0	86715	2935653	16	1.24	1.2940490012027948	0.0	43.8087854757307
HG002	PacBio	VG Giraffe	vg-pb	vg-pb	samtools_stats_30x_Christian/vacmap_vg_stats/HG002.pb.30x.hg38.vg-pb.cram.stats	6736453	6714908	21545	99.6802	94336001094	94086662461	93392245219	99.7357	999901444	0.01070647	1.0706			14003.0	51415	0	31806	0	16	1.24	0.4736624835366322	0.0	0.0
HG003	ONT	minimap2	map-ont	mm2-ont	samtools_stats_30x_Christian/HG003_ont_30x.hg38.mm2-ont.cram.stats.SN.txt	6938685	6534420	404265	94.1738	94906798668	94643907161	94296387842	99.723	2647718996	0.02807869	2.8079			13678.0	1365688	2209813	62459	564497	64	1.24	0.9558461194719654	33.81804352949459	8.638823338567157
HG003	ONT	pbmm2	SUBREAD	pbmm2-ont	samtools_stats_30x_Christian/HG003_ont_30x.hg38.pbmm2-ont.cram.stats.SN.txt	6938685	6509045	429640	93.808	94906798668	94557542126	93653338869	99.632	2331047806	0.02489017	2.489			13678.0	1365688	0	54901	579684	64	1.24	0.8434570662823808	0.0	8.905822589949832
HG003	ONT	VACmap	vacmap-ont	vacmap-ont	samtools_stats_30x_Christian/vacmap_vg_stats/HG003.ont.30x.hg38.vacmap-ont.cram.stats	6428625	6428625	0	100.0	94171462471	94171462471	93096950059	100.0	1379388723	0.01481669	1.4817			14649.0	1365688	0	127832	4114801	16	1.24	1.9884812071010518	0.0	64.00748215987089
HG003	ONT	VG Giraffe	vg-ont	vg-ont	samtools_stats_30x_Christian/vacmap_vg_stats/HG003.ont.30x.hg38.vg-ont.cram.stats	6938685	6439363	499322	92.8038	94906798668	90452716036	87970816405	95.3069	1775550287	0.0201834	2.0183			13677.0	1365688	0	118442	0	16	1.24	1.8393434257394714	0.0	0.0
HG003	PacBio	minimap2	map-hifi	mm2-pb	samtools_stats_30x_Christian/HG003_pb_30x.hg38.mm2-pb.cram.stats.SN.txt	6621583	6607336	14247	99.7848	93293694245	93143250746	93073206292	99.8387	1250359813	0.01343415	1.3434			14089.0	49762	1471627	9259	251272	64	1.24	0.14013211981349216	22.27262243058322	3.802924506941981
HG003	PacBio	pbmm2	CCS	pbmm2-pb	samtools_stats_30x_Christian/HG003_pb_30x.hg38.pbmm2-pb.cram.stats.SN.txt	6621583	6619070	2513	99.962	93293694245	93268858653	92847445611	99.9734	1095509707	0.01179903	1.1799			14089.0	49762	0	9379	351521	64	1.24	0.14169664318401226	0.0	5.3107309637154465
HG003	PacBio	VACmap	vacmap-pb	vacmap-pb	samtools_stats_30x_Christian/vacmap_vg_stats/HG003.pb.30x.hg38.vacmap-pb.cram.stats	6590883	6590883	0	100.0	92941941630	92941941630	92734592987	100.0	644784006	0.006953	0.6953			14102.0	49762	0	81763	2772887	16	1.24	1.240546979820458	0.0	42.07155551084733
HG003	PacBio	VG Giraffe	vg-pb	vg-pb	samtools_stats_30x_Christian/vacmap_vg_stats/HG003.pb.30x.hg38.vg-pb.cram.stats	6621583	6602757	18826	99.7157	93293694245	93070386820	92386682869	99.7606	977409807	0.01057955	1.058			14089.0	49762	0	28591	0	16	1.24	0.4330160870678718	0.0	0.0
