sample	read_technology	aligner	preset	configuration	statistics_file	raw_total_sequences	reads_mapped	reads_unmapped	mapped_reads_percent	total_length	bases_mapped	bases_mapped_cigar	mapped_bases_percent	mismatches	error_rate	error_percent	insertions	deletions	average_length	maximum_length	non_primary_alignments
HG002	ONT	minimap2	map-ont	mm2-ont	alignment_analysis/tables/HG002.ont.1k.samtools_stats.txt	1000	1000	0	100.0000	18663418	18663418	18601777	100.0000	673855	0.03622530	3.6225			18663.00	315783	4266
HG002	ONT	minimap2	map-hifi	mm2-pb	alignment_analysis/tables/HG002.ont.1k.mm2-pb.samtools_stats.txt	1000	984	16	98.4000	18663418	18626025	18396830	99.7996	598298	0.03252180	3.2522			18663.00	315783	3961
HG002	ONT	pbmm2	SUBREAD	pbmm2-ont	alignment_analysis/tables/HG002.ont.1k.pbmm2-subread.samtools_stats.txt	1000	998	2	99.8000	18663418	18639009	18183599	99.8692	577780	0.03177479	3.1775			18663.00	315783	0
HG002	ONT	pbmm2	CCS/HIFI	pbmm2-pb	alignment_analysis/tables/HG002.ont.1k.pbmm2-ccs.samtools_stats.txt	1000	993	7	99.3000	18663418	18629459	18079243	99.8180	544757	0.03013163	3.0132			18663.00	315783	0
HG002	PacBio	minimap2	map-ont	mm2-ont	alignment_analysis/tables/HG002.pb.1k.mm2-ont.samtools_stats.txt	1000	1000	0	100.0000	13469698	13469698	13502595	100.0000	214725	0.01590250	1.5902			13470.00	32674	4562
HG002	PacBio	minimap2	map-hifi	mm2-pb	alignment_analysis/tables/HG002.pb.1k.samtools_stats.txt	1000	1000	0	100.0000	13469698	13469698	13462607	100.0000	195885	0.01455030	1.4550			13470.00	32674	4345
HG002	PacBio	pbmm2	SUBREAD	pbmm2-ont	alignment_analysis/tables/HG002.pb.1k.pbmm2-subread.samtools_stats.txt	1000	1000	0	100.0000	13469698	13469698	13386641	100.0000	188399	0.01407366	1.4074			13470.00	32674	0
HG002	PacBio	pbmm2	CCS/HIFI	pbmm2-pb	alignment_analysis/tables/HG002.pb.1k.pbmm2-ccs.samtools_stats.txt	1000	1000	0	100.0000	13469698	13469698	13387151	100.0000	171472	0.01280870	1.2809			13470.00	32674	0
HG003	ONT	minimap2	map-ont	mm2-ont	alignment_analysis/tables/HG003.ont.1k.samtools_stats.txt	1000	999	1	99.9000	12808634	12805799	12492154	99.9779	417741	0.03344027	3.3440			12809.00	74299	4452
HG003	ONT	minimap2	map-hifi	mm2-pb	alignment_analysis/tables/HG003.ont.1k.mm2-pb.samtools_stats.txt	1000	923	77	92.3000	12808634	12793754	12367445	99.8838	368242	0.02977511	2.9775			12809.00	74299	4009
HG003	ONT	pbmm2	SUBREAD	pbmm2-ont	alignment_analysis/tables/HG003.ont.1k.pbmm2-subread.samtools_stats.txt	1000	997	3	99.7000	12808634	12808043	12202204	99.9954	350172	0.02869744	2.8697			12809.00	74299	0
HG003	ONT	pbmm2	CCS/HIFI	pbmm2-pb	alignment_analysis/tables/HG003.ont.1k.pbmm2-ccs.samtools_stats.txt	1000	990	10	99.0000	12808634	12805442	12115625	99.9751	328682	0.02712877	2.7129			12809.00	74299	0
HG003	PacBio	minimap2	map-ont	mm2-ont	alignment_analysis/tables/HG003.pb.1k.mm2-ont.samtools_stats.txt	1000	1000	0	100.0000	14032604	14032604	14048332	100.0000	303323	0.02159139	2.1591			14033.00	32907	4513
HG003	PacBio	minimap2	map-hifi	mm2-pb	alignment_analysis/tables/HG003.pb.1k.samtools_stats.txt	1000	1000	0	100.0000	14032604	14032604	14032287	100.0000	271241	0.01932978	1.9330			14033.00	32907	4282
HG003	PacBio	pbmm2	SUBREAD	pbmm2-ont	alignment_analysis/tables/HG003.pb.1k.pbmm2-subread.samtools_stats.txt	1000	1000	0	100.0000	14032604	14032604	13932129	100.0000	235353	0.01689282	1.6893			14033.00	32907	0
HG003	PacBio	pbmm2	CCS/HIFI	pbmm2-pb	alignment_analysis/tables/HG003.pb.1k.pbmm2-ccs.samtools_stats.txt	1000	1000	0	100.0000	14032604	14032604	13886669	100.0000	210242	0.01513984	1.5140			14033.00	32907	0
HG004	ONT	minimap2	map-ont	mm2-ont	alignment_analysis/tables/HG004.ont.1k.samtools_stats.txt	1000	1000	0	100.0000	13605899	13605899	13436376	100.0000	548148	0.04079582	4.0796			13606.00	78490	4486
HG004	ONT	minimap2	map-hifi	mm2-pb	alignment_analysis/tables/HG004.ont.1k.mm2-pb.samtools_stats.txt	1000	902	98	90.2000	13605899	13581569	13294688	99.8212	491898	0.03699959	3.7000			13606.00	78490	3949
HG004	ONT	pbmm2	SUBREAD	pbmm2-ont	alignment_analysis/tables/HG004.ont.1k.pbmm2-subread.samtools_stats.txt	1000	992	8	99.2000	13605899	13603937	13082137	99.9856	454494	0.03474157	3.4742			13606.00	78490	0
HG004	ONT	pbmm2	CCS/HIFI	pbmm2-pb	alignment_analysis/tables/HG004.ont.1k.pbmm2-ccs.samtools_stats.txt	1000	988	12	98.8000	13605899	13602008	13030881	99.9714	438494	0.03365037	3.3650			13606.00	78490	0
HG004	PacBio	minimap2	map-ont	mm2-ont	alignment_analysis/tables/HG004.pb.1k.mm2-ont.samtools_stats.txt	1000	1000	0	100.0000	14370953	14370953	14380461	100.0000	327386	0.02276603	2.2766			14371.00	32998	4425
HG004	PacBio	minimap2	map-hifi	mm2-pb	alignment_analysis/tables/HG004.pb.1k.samtools_stats.txt	1000	1000	0	100.0000	14370953	14370953	14362861	100.0000	292286	0.02035012	2.0350			14371.00	32998	4190
HG004	PacBio	pbmm2	SUBREAD	pbmm2-ont	alignment_analysis/tables/HG004.pb.1k.pbmm2-subread.samtools_stats.txt	1000	1000	0	100.0000	14370953	14370953	14273546	100.0000	273126	0.01913512	1.9135			14371.00	32998	0
HG004	PacBio	pbmm2	CCS/HIFI	pbmm2-pb	alignment_analysis/tables/HG004.pb.1k.pbmm2-ccs.samtools_stats.txt	1000	1000	0	100.0000	14370953	14370953	14251638	100.0000	247926	0.01739632	1.7396			14371.00	32998	0
