sample	read_technology	aligner	statistics_file	raw_total_sequences	reads_mapped	reads_unmapped	mapped_reads_percent	total_length	bases_mapped	bases_mapped_cigar	mapped_bases_percent	mismatches	error_rate	error_percent	insertions	deletions	average_length	maximum_length	non_primary_alignments
HG002	ont	minimap2	results/stats/HG002.ont.minimap2.stats.txt	1000	1000	0	100.0	18663418	18663418	18349489	98.31794476231525	635778	0.03464827	3.464827			18663	315783	4078
HG002	ont	pbmm2	results/stats/HG002.ont.pbmm2.stats.txt	998	998	0	100.0	18639009	18639009	18183599	97.55668340521751	577780	0.03177479	3.177479			18676	315783	0
HG002	ont	vacmap	results/stats/HG002.ont.vacmap.stats.txt	37	37	0	100.0	868544	868544	18253	2.101563075676074	494	0.02706404	2.706404			23474	315783	0
HG002	ont	vg_giraffe	results/stats/HG002.ont.vg_giraffe.stats.txt	1000	398	602	39.800000000000004	18663418	8415007	5559308	29.787191177950362	536905	0.09657767	9.657767			18663	315783	0
HG002	pb	minimap2	results/stats/HG002.pb.minimap2.stats.txt	1000	1000	0	100.0	13469698	13469698	13420072	99.63157303155572	190998	0.01423226	1.423226			13470	32674	4211
HG002	pb	pbmm2	results/stats/HG002.pb.pbmm2.stats.txt	1000	1000	0	100.0	13469698	13469698	13387151	99.38716517623483	171472	0.0128087	1.28087			13470	32674	0
HG002	pb	vacmap	results/stats/HG002.pb.vacmap.stats.txt	0	0	0		0	0	0		0	0.0	0.0			0	0	0
HG002	pb	vg_giraffe	results/stats/HG002.pb.vg_giraffe.stats.txt	1000	540	460	54.0	13469698	7696728	3261828	24.216044041967386	236374	0.07246672	7.246672			13470	32674	0
HG003	ont	minimap2	results/stats/HG003.ont.minimap2.stats.txt	1000	1000	0	100.0	12808634	12808634	12281873	95.88745372847721	388279	0.03161399	3.1613990000000003			12809	74299	4365
HG003	ont	pbmm2	results/stats/HG003.ont.pbmm2.stats.txt	997	997	0	100.0	12808043	12808043	12202204	95.26985504342858	350172	0.02869744	2.8697440000000003			12847	74299	0
HG003	ont	vacmap	results/stats/HG003.ont.vacmap.stats.txt	27	27	0	100.0	486478	486478	8478	1.7427304009636613	78	0.009200283	0.9200283			18018	48254	0
HG003	ont	vg_giraffe	results/stats/HG003.ont.vg_giraffe.stats.txt	1000	448	552	44.800000000000004	12808634	7663042	5625348	43.91840691208758	742382	0.1319709	13.19709			12809	74299	0
HG003	pb	minimap2	results/stats/HG003.pb.minimap2.stats.txt	1000	1000	0	100.0	14032604	14032604	13935740	99.30972184492629	253047	0.01815813	1.8158130000000001			14033	32907	4187
HG003	pb	pbmm2	results/stats/HG003.pb.pbmm2.stats.txt	1000	1000	0	100.0	14032604	14032604	13886669	98.9600290865473	210242	0.01513984	1.513984			14033	32907	0
HG003	pb	vacmap	results/stats/HG003.pb.vacmap.stats.txt	0	0	0		0	0	0		0	0.0	0.0			0	0	0
HG003	pb	vg_giraffe	results/stats/HG003.pb.vg_giraffe.stats.txt	1000	491	509	49.1	14032604	7295610	3646710	25.987407611587987	220190	0.06038045	6.038045			14033	32907	0
HG004	ont	minimap2	results/stats/HG004.ont.minimap2.stats.txt	1000	1000	0	100.0	13605899	13605899	13214694	97.12473979117439	512544	0.03878592	3.8785920000000003			13606	78490	4363
HG004	ont	pbmm2	results/stats/HG004.ont.pbmm2.stats.txt	992	992	0	100.0	13603937	13603937	13082137	96.1643456596425	454494	0.03474157	3.474157			13714	78490	0
HG004	ont	vacmap	results/stats/HG004.ont.vacmap.stats.txt	39	39	0	100.0	542287	542287	10809	1.9932249897194658	376	0.03478583	3.4785829999999995			13905	48621	0
HG004	ont	vg_giraffe	results/stats/HG004.ont.vg_giraffe.stats.txt	1000	394	606	39.4	13605899	7284812	4475654	32.89495240263065	522856	0.1168223	11.68223			13606	78490	0
HG004	pb	minimap2	results/stats/HG004.pb.minimap2.stats.txt	1000	1000	0	100.0	14370953	14370953	14316621	99.62193182317137	287485	0.02008051	2.008051			14371	32998	4082
HG004	pb	pbmm2	results/stats/HG004.pb.pbmm2.stats.txt	1000	1000	0	100.0	14370953	14370953	14251638	99.1697488677334	247926	0.01739632	1.739632			14371	32998	0
HG004	pb	vacmap	results/stats/HG004.pb.vacmap.stats.txt	0	0	0		0	0	0		0	0.0	0.0			0	0	0
HG004	pb	vg_giraffe	results/stats/HG004.pb.vg_giraffe.stats.txt	1000	509	491	50.9	14370953	7853246	3120540	21.714217560936984	191476	0.06135989	6.135989			14371	32998	0
