sample	technology	aligner	fastq_reads	bam_primary_reads	mapped_reads	mapped_percent	valid_cigar	with_NM	bases_mapped_cigar	mismatches	error_percent	bam_status
HG002	ont	minimap2	1000	1000	1000	100.000000	1000	1000	18349489	635778	3.464827	OK	
HG002	ont	pbmm2	1000	998	998	100.000000	998	998	18183599	577780	3.177479	OK	
HG002	ont	vacmap	1000	37	37	100.000000	37	37	18253	494	2.706404	OK	
HG002	ont	vg_giraffe	1000	1000	398	39.800000	398	398	5559308	536905	9.657767	OK	
HG002	pb	minimap2	1000	1000	1000	100.000000	1000	1000	13420072	190998	1.423226	OK	
HG002	pb	pbmm2	1000	1000	1000	100.000000	1000	1000	13387151	171472	1.280870	OK	
HG002	pb	vacmap	1000	0	0	NA	0	0	0	0	0.000000	OK	
HG002	pb	vg_giraffe	1000	1000	540	54.000000	540	540	3261828	236374	7.246672	OK	
HG003	ont	minimap2	1000	1000	1000	100.000000	1000	1000	12281873	388279	3.161399	OK	
HG003	ont	pbmm2	1000	997	997	100.000000	997	997	12202204	350172	2.869744	OK	
HG003	ont	vacmap	1000	27	27	100.000000	27	27	8478	78	0.920028	OK	
HG003	ont	vg_giraffe	1000	1000	448	44.800000	448	448	5625348	742382	13.197090	OK	
HG003	pb	minimap2	1000	1000	1000	100.000000	1000	1000	13935740	253047	1.815813	OK	
HG003	pb	pbmm2	1000	1000	1000	100.000000	1000	1000	13886669	210242	1.513984	OK	
HG003	pb	vacmap	1000	0	0	NA	0	0	0	0	0.000000	OK	
HG003	pb	vg_giraffe	1000	1000	491	49.100000	491	491	3646710	220190	6.038045	OK	
HG004	ont	minimap2	1000	1000	1000	100.000000	1000	1000	13214694	512544	3.878592	OK	
HG004	ont	pbmm2	1000	992	992	100.000000	992	992	13082137	454494	3.474157	OK	
HG004	ont	vacmap	1000	39	39	100.000000	39	39	10809	376	3.478583	OK	
HG004	ont	vg_giraffe	1000	1000	394	39.400000	394	394	4475654	522856	11.682230	OK	
HG004	pb	minimap2	1000	1000	1000	100.000000	1000	1000	14316621	287485	2.008051	OK	
HG004	pb	pbmm2	1000	1000	1000	100.000000	1000	1000	14251638	247926	1.739632	OK	
HG004	pb	vacmap	1000	0	0	NA	0	0	0	0	0.000000	OK	
HG004	pb	vg_giraffe	1000	1000	509	50.900000	509	509	3120540	191476	6.135989	OK	
