sample	technology	aligner	input_reads	unique_mapped_reads	mapped_percent_of_input
HG002	ont	minimap2	1000	1000	100.0
HG002	ont	pbmm2	1000	998	99.8
HG002	ont	vacmap	1000	37	3.6999999999999997
HG002	ont	vg_giraffe	1000	398	39.800000000000004
HG002	pb	minimap2	1000	1000	100.0
HG002	pb	pbmm2	1000	1000	100.0
HG002	pb	vacmap	1000	0	0.0
HG002	pb	vg_giraffe	1000	540	54.0
HG003	ont	minimap2	1000	1000	100.0
HG003	ont	pbmm2	1000	997	99.7
HG003	ont	vacmap	1000	27	2.7
HG003	ont	vg_giraffe	1000	448	44.800000000000004
HG003	pb	minimap2	1000	1000	100.0
HG003	pb	pbmm2	1000	1000	100.0
HG003	pb	vacmap	1000	0	0.0
HG003	pb	vg_giraffe	1000	491	49.1
HG004	ont	minimap2	1000	1000	100.0
HG004	ont	pbmm2	1000	992	99.2
HG004	ont	vacmap	1000	39	3.9
HG004	ont	vg_giraffe	1000	394	39.4
HG004	pb	minimap2	1000	1000	100.0
HG004	pb	pbmm2	1000	1000	100.0
HG004	pb	vacmap	1000	0	0.0
HG004	pb	vg_giraffe	1000	509	50.9
