sample	technology	aligner	input_records	unique_input_names	duplicate_input_names	primary_mapped_records	unique_primary_mapped_names	unique_mapped_input_reads	foreign_mapped_names	duplicate_primary_names	mapped_percent_mapq0	mapped_percent_mapq5	mapped_percent_mapq20	bam_quickcheck	validation_status
HG002	ont	minimap2	1000	1000	0	1000	1000	1000	0	0	100.0	70.1	60.5	True	PASS
HG002	ont	pbmm2	1000	1000	0	998	998	998	0	0	99.8	72.7	60.0	True	PASS
HG002	ont	vacmap	1000	1000	0	37	37	37	0	0	3.7	2.8	2.6	True	PASS
HG002	ont	vg_giraffe	1000	1000	0	398	398	398	0	0	39.8	39.6	39.2	True	PASS
HG002	pb	minimap2	1000	1000	0	1000	1000	1000	0	0	100.0	75.5	64.3	True	PASS
HG002	pb	pbmm2	1000	1000	0	1000	1000	1000	0	0	100.0	75.4	64.5	True	PASS
HG002	pb	vacmap	1000	1000	0	0	0	0	0	0	0.0	0.0	0.0	True	PASS
HG002	pb	vg_giraffe	1000	1000	0	540	540	540	0	0	54.0	50.6	31.6	True	PASS
HG003	ont	minimap2	1000	1000	0	1000	1000	1000	0	0	100.0	60.7	46.3	True	PASS
HG003	ont	pbmm2	1000	1000	0	997	997	997	0	0	99.7	62.4	48.8	True	PASS
HG003	ont	vacmap	1000	1000	0	27	27	27	0	0	2.7	1.9	1.8	True	PASS
HG003	ont	vg_giraffe	1000	1000	0	448	448	448	0	0	44.8	44.1	43.9	True	PASS
HG003	pb	minimap2	1000	1000	0	1000	1000	1000	0	0	100.0	76.3	66.1	True	PASS
HG003	pb	pbmm2	1000	1000	0	1000	1000	1000	0	0	100.0	76.7	66.4	True	PASS
HG003	pb	vacmap	1000	1000	0	0	0	0	0	0	0.0	0.0	0.0	True	PASS
HG003	pb	vg_giraffe	1000	1000	0	491	491	491	0	0	49.1	46.7	30.4	True	PASS
HG004	ont	minimap2	1000	1000	0	1000	1000	1000	0	0	100.0	59.8	46.0	True	PASS
HG004	ont	pbmm2	1000	1000	0	992	992	992	0	0	99.2	61.0	48.2	True	PASS
HG004	ont	vacmap	1000	1000	0	39	39	39	0	0	3.9	2.4	2.2	True	PASS
HG004	ont	vg_giraffe	1000	1000	0	394	394	394	0	0	39.4	39.2	38.9	True	PASS
HG004	pb	minimap2	1000	1000	0	1000	1000	1000	0	0	100.0	76.8	67.5	True	PASS
HG004	pb	pbmm2	1000	1000	0	1000	1000	1000	0	0	100.0	77.0	67.6	True	PASS
HG004	pb	vacmap	1000	1000	0	0	0	0	0	0	0.0	0.0	0.0	True	PASS
HG004	pb	vg_giraffe	1000	1000	0	509	509	509	0	0	50.9	48.0	27.7	True	PASS
