size_bytes	modified	assembly_path
1015140	2026-08-04_09:54:21.7565153640	results/assemblies/HG002.ont.flye/assembly.fasta
1016676	2026-08-03_10:54:55.5890564710	results/assemblies/HG002.pb.flye/assembly.fasta
1015428	2026-08-03_10:58:09.0650522170	results/assemblies/HG003.ont.flye/assembly.fasta
1016676	2026-08-03_10:48:37.5010594430	results/assemblies/HG003.pb.flye/assembly.fasta
1016368	2026-08-03_10:52:28.1890533180	results/assemblies/HG004.ont.flye/assembly.fasta
1016676	2026-08-03_11:00:36.4010496620	results/assemblies/HG004.pb.flye/assembly.fasta
15023	2026-08-05_09:05:06.3573500530	results/smoke_test/goldrush/HG002.pb/assembly.fasta
15101	2026-08-04_09:27:08.2961834940	results/smoke_test/goldrush/HG003.ont/assembly.fasta
20107	2026-08-04_09:28:35.8759737920	results/smoke_test/goldrush/HG003.pb/assembly.fasta
15101	2026-08-04_09:34:22.2160383170	results/smoke_test/goldrush/HG004.ont/assembly.fasta
20107	2026-08-04_09:29:50.5157780380	results/smoke_test/goldrush/HG004.pb/assembly.fasta
15033	2026-08-05_09:05:12.8662944840	results/smoke_test/ntlink/HG002.pb/assembly.fasta
15111	2026-08-04_09:27:13.6404572580	results/smoke_test/ntlink/HG003.ont/assembly.fasta
20117	2026-08-04_09:28:41.7507585600	results/smoke_test/ntlink/HG003.pb/assembly.fasta
15111	2026-08-04_09:39:55.5088940640	results/smoke_test/ntlink/HG004.ont/assembly.fasta
20117	2026-08-04_09:29:56.1426192100	results/smoke_test/ntlink/HG004.pb/assembly.fasta
1015140	2026-08-03_10:18:52.0610621850	results/smoke_test_assemblies/HG002.ont.flye/assembly.fasta
4680509	2026-08-04_22:14:04.2611117050	results/validation_external/verkko_ecoli/ecoli/assembly.fasta
