path	file_size	sequence_count	total_bases	sequence_content_sha256
results/assemblies/HG002.ont.flye/assembly.fasta	1015140	1	998488	8f0de89429125358d3deb51a8031efa4f3d043ef1ae4dc5dd895d9c5c55e29e5
results/assemblies/HG002.pb.flye/assembly.fasta	1016676	1	999999	80734789d4588ecd949837e929efaf24d1242d1cfc1b0700c7f3f7df137dc5a6
results/assemblies/HG003.ont.flye/assembly.fasta	1015428	1	998771	5a2bf51ca8810de0551e1bb56e44ced451b8927768ef2eb9183baadd1fd11e0e
results/assemblies/HG003.pb.flye/assembly.fasta	1016676	1	999999	80734789d4588ecd949837e929efaf24d1242d1cfc1b0700c7f3f7df137dc5a6
results/assemblies/HG004.ont.flye/assembly.fasta	1016368	1	999696	d0724d755b718b60f059b92045cc61750ff6a591a411341624ddfd09f0ab9630
results/assemblies/HG004.pb.flye/assembly.fasta	1016676	1	999999	80734789d4588ecd949837e929efaf24d1242d1cfc1b0700c7f3f7df137dc5a6
results/smoke_test/goldrush/HG002.pb/assembly.fasta	15023	1	14896	c7f3cea42ac63b46cbfc7c13953c23c6df8fdabc2545b72110b1cbbdedccf80b
results/smoke_test/goldrush/HG003.ont/assembly.fasta	15101	1	15000	3feba11c2912f476eb20b0c5a0216d950314f24122f7a4185452e0c53f201d16
results/smoke_test/goldrush/HG003.pb/assembly.fasta	20107	1	20000	318f0868be812083ce119efabbbd14d6bc0e83a4b2cfe05f75d5c74342c2eef3
results/smoke_test/goldrush/HG004.ont/assembly.fasta	15101	1	15000	c05af88c656e2998063fe08ac103404800d38a3128fcd1e2d3e28083e6e4fa41
results/smoke_test/goldrush/HG004.pb/assembly.fasta	20107	1	20000	318f0868be812083ce119efabbbd14d6bc0e83a4b2cfe05f75d5c74342c2eef3
results/smoke_test/ntlink/HG002.pb/assembly.fasta	15033	1	14896	c7f3cea42ac63b46cbfc7c13953c23c6df8fdabc2545b72110b1cbbdedccf80b
results/smoke_test/ntlink/HG003.ont/assembly.fasta	15111	1	15000	3feba11c2912f476eb20b0c5a0216d950314f24122f7a4185452e0c53f201d16
results/smoke_test/ntlink/HG003.pb/assembly.fasta	20117	1	20000	318f0868be812083ce119efabbbd14d6bc0e83a4b2cfe05f75d5c74342c2eef3
results/smoke_test/ntlink/HG004.ont/assembly.fasta	15111	1	15000	c05af88c656e2998063fe08ac103404800d38a3128fcd1e2d3e28083e6e4fa41
results/smoke_test/ntlink/HG004.pb/assembly.fasta	20117	1	20000	318f0868be812083ce119efabbbd14d6bc0e83a4b2cfe05f75d5c74342c2eef3
results/smoke_test_assemblies/HG002.ont.flye/assembly.fasta	1015140	1	998488	8f0de89429125358d3deb51a8031efa4f3d043ef1ae4dc5dd895d9c5c55e29e5
results/validation_external/verkko_ecoli/ecoli/assembly.fasta	4680509	3	4680458	414c4947ebc8e8c49c68a0e0f29f96392571f4672404944c97c3195fcc20916c
