filename,sample,read_technology,coverage,reference,mapper,preset,total_reads,mapped_reads,unmapped_reads,mapping_rate_percent,unmapped_rate_percent,mq0_reads,mq0_rate_percent,non_primary_alignments,supplementary_alignments,bases_mapped_cigar,mismatches,error_rate,error_rate_percent,average_read_length,average_quality
HG002_ont_30x.hg38.mm2-ont.cram.stats.SN.txt,HG002,ont,30x,hg38,minimap2,ont,5203769,5118735,85034,98.36591516648798,1.634084833512018,22248,0.43463863630369615,1689872,423684,93672651095,3023080751,0.03227282,3.227282,18100,42.4
HG002_ont_30x.hg38.mm2-pb.cram.stats.SN.txt,HG002,ont,30x,hg38,minimap2,pb,5203768,5013347,190421,96.34070927066695,3.6592907293330525,17418,0.34743256351495316,1273946,569435,92686465122,2481489192,0.02677294,2.677294,18100,42.4
HG002_ont_30x.hg38.pbmm2-ont.cram.stats.SN.txt,HG002,ont,30x,hg38,pbmm2,ont,5203769,5108067,95702,98.16090990972121,1.839090090278796,19925,0.39006927669507857,0,452451,93060440064,2714103858,0.02916496,2.916496,18100,42.4
HG002_ont_30x.hg38.pbmm2-pb.cram.stats.SN.txt,HG002,ont,30x,hg38,pbmm2,pb,5203769,5070667,133102,97.44220006691305,2.5577999330869607,18868,0.37210094845510466,0,793336,92215641988,2318098625,0.0251378,2.5137799999999997,18100,42.4
HG002_pb_30x.hg38.mm2-ont.cram.stats.SN.txt,HG002,pacbio,30x,hg38,minimap2,ont,6736453,6736335,118,99.99824833632773,0.0017516636722619456,10450,0.15512886458289263,1871330,96049,94361718880,1638582511,0.01736491,1.736491,14004,38.4
HG002_pb_30x.hg38.mm2-pb.cram.stats.SN.txt,HG002,pacbio,30x,hg38,minimap2,pb,6736453,6719594,16859,99.74973476397743,0.2502652360225775,10300,0.15328307037597808,1552619,242071,94078039439,1309235275,0.01391648,1.391648,14004,38.4
HG002_pb_30x.hg38.pbmm2-ont.cram.stats.SN.txt,HG002,pacbio,30x,hg38,pbmm2,ont,6736453,6736357,96,99.99857491769036,0.001425082309636837,9509,0.14115938332840733,0,120789,94199073529,1453396352,0.01542899,1.542899,14004,38.4
HG002_pb_30x.hg38.pbmm2-pb.cram.stats.SN.txt,HG002,pacbio,30x,hg38,pbmm2,pb,6736453,6733791,2662,99.96048365512236,0.039516344877638124,10380,0.15414793836042728,0,353403,93857101555,1143804337,0.01218666,1.218666,14004,38.4
HG003_ont_30x.hg38.mm2-ont.cram.stats.SN.txt,HG003,ont,30x,hg38,minimap2,ont,6938685,6534420,404265,94.17375194291138,5.826248057088627,62459,0.9558461194719654,2209813,564497,94296387842,2647718996,0.02807869,2.807869,13678,43.7
HG003_ont_30x.hg38.mm2-pb.cram.stats.SN.txt,HG003,ont,30x,hg38,minimap2,pb,6938685,6146727,791958,88.58633876591891,11.413661234081097,39523,0.6429926040313813,1528369,636017,93483377305,2159453129,0.02309986,2.309986,13678,43.7
