sample	read_technology	aligner	preset	configuration	statistics_file	raw_total_sequences	reads_mapped	reads_unmapped	mapped_reads_percent	total_length	bases_mapped	bases_mapped_cigar	mapped_bases_percent	mismatches	error_rate	error_percent	insertions	deletions	average_length	maximum_length	non_primary_alignments
HG002	ONT	minimap2	map-ont	mm2-ont	samtools_stats_30x_Christian/HG002_ont_30x.hg38.mm2-ont.cram.stats.SN.txt	5203769	5118735	85034	98.3659	94189961259	94097151347	93672651095	99.9015	3023080751	0.03227282	3.2273			18100.00	1316343	1689872
HG002	ONT	minimap2	map-hifi	mm2-pb	samtools_stats_30x_Christian/HG002_ont_30x.hg38.mm2-pb.cram.stats.SN.txt	5203768	5013347	190421	96.3407	94189934916	93566175852	92686465122	99.3378	2481489192	0.02677294	2.6773			18100.00	1316343	1273946
HG002	ONT	pbmm2	SUBREAD	pbmm2-ont	samtools_stats_30x_Christian/HG002_ont_30x.hg38.pbmm2-ont.cram.stats.SN.txt	5203769	5108067	95702	98.1609	94189961259	94039378623	93060440064	99.8401	2714103858	0.02916496	2.9165			18100.00	1316343	0
HG002	ONT	pbmm2	CCS	pbmm2-pb	samtools_stats_30x_Christian/HG002_ont_30x.hg38.pbmm2-pb.cram.stats.SN.txt	5203769	5070667	133102	97.4422	94189961259	93855664875	92215641988	99.6451	2318098625	0.02513780	2.5138			18100.00	1316343	0
HG002	PacBio	minimap2	map-ont	mm2-ont	samtools_stats_30x_Christian/HG002_pb_30x.hg38.mm2-ont.cram.stats.SN.txt	6736453	6736335	118	99.9982	94336001094	94335066754	94361718880	99.9990	1638582511	0.01736491	1.7365			14004.00	51415	1871330
HG002	PacBio	minimap2	map-hifi	mm2-pb	samtools_stats_30x_Christian/HG002_pb_30x.hg38.mm2-pb.cram.stats.SN.txt	6736453	6719594	16859	99.7497	94336001094	94164369675	94078039439	99.8181	1309235275	0.01391648	1.3916			14004.00	51415	1552619
HG002	PacBio	pbmm2	SUBREAD	pbmm2-ont	samtools_stats_30x_Christian/HG002_pb_30x.hg38.pbmm2-ont.cram.stats.SN.txt	6736453	6736357	96	99.9986	94336001094	94335270571	94199073529	99.9992	1453396352	0.01542899	1.5429			14004.00	51415	0
HG002	PacBio	pbmm2	CCS	pbmm2-pb	samtools_stats_30x_Christian/HG002_pb_30x.hg38.pbmm2-pb.cram.stats.SN.txt	6736453	6733791	2662	99.9605	94336001094	94310552692	93857101555	99.9730	1143804337	0.01218666	1.2187			14004.00	51415	0
HG003	ONT	minimap2	map-ont	mm2-ont	samtools_stats_30x_Christian/HG003_ont_30x.hg38.mm2-ont.cram.stats.SN.txt	6938685	6534420	404265	94.1738	94906798668	94643907161	94296387842	99.7230	2647718996	0.02807869	2.8079			13678.00	1365688	2209813
HG003	ONT	minimap2	map-hifi	mm2-pb	samtools_stats_30x_Christian/HG003_ont_30x.hg38.mm2-pb.cram.stats.SN.txt	6938685	6146727	791958	88.5863	94906798668	94063770153	93483377305	99.1117	2159453129	0.02309986	2.3100			13678.00	1365688	1528369
HG003	ONT	pbmm2	SUBREAD	pbmm2-ont	samtools_stats_30x_Christian/HG003_ont_30x.hg38.pbmm2-ont.cram.stats.SN.txt	6938685	6509045	429640	93.8080	94906798668	94557542126	93653338869	99.6320	2331047806	0.02489017	2.4890			13678.00	1365688	0
HG003	ONT	pbmm2	CCS	pbmm2-pb	samtools_stats_30x_Christian/HG003_ont_30x.hg38.pbmm2-pb.cram.stats.SN.txt	6938685	6428113	510572	92.6417	94906798668	94355637130	92934358985	99.4193	1979368914	0.02129857	2.1299			13678.00	1365688	0
HG003	PacBio	minimap2	map-ont	mm2-ont	samtools_stats_30x_Christian/HG003_pb_30x.hg38.mm2-ont.cram.stats.SN.txt	6621583	6621495	88	99.9987	93293694245	93293019196	93325340842	99.9993	1525896025	0.01635029	1.6350			14089.00	49762	1762584
