size_bytes	modified	path
252512949	2026-08-03_11:29:16.0810422100	data/reference/chromosomes/chr1.fasta
23	2026-08-03_11:29:17.4543370520	data/reference/chromosomes/chr1.fasta.fai
47377276	2026-08-03_11:12:17.3850505950	data/reference/chromosomes/chr21.fasta
23	2026-08-03_11:12:17.6368208440	data/reference/chromosomes/chr21.fasta.fai
60064656	2026-08-03_10:15:04.1650611300	smoke_test/data/reads/HG002.ont.smoke.fastq
78519067	2026-08-03_10:45:32.4210500190	smoke_test/data/reads/HG002.pb.smoke.fastq
60064655	2026-08-03_10:15:08.6210610340	smoke_test/data/reads/HG003.ont.smoke.fastq
78519067	2026-08-03_10:45:32.6450500090	smoke_test/data/reads/HG003.pb.smoke.fastq
60064649	2026-08-03_10:15:13.0850609640	smoke_test/data/reads/HG004.ont.smoke.fastq
78519067	2026-08-03_10:45:32.9970499930	smoke_test/data/reads/HG004.pb.smoke.fastq
39277165	2026-08-04_15:07:17.2146180400	smoke_test/data/reads_chr21/HG002.ont.chr21.smoke.fastq
39468466	2026-08-04_15:07:13.6506180590	smoke_test/data/reads_chr21/HG002.pb.chr21.smoke.fastq
39277165	2026-08-04_15:07:23.2906180510	smoke_test/data/reads_chr21/HG003.ont.chr21.smoke.fastq
39468466	2026-08-04_15:07:20.2386180240	smoke_test/data/reads_chr21/HG003.pb.chr21.smoke.fastq
39277165	2026-08-04_15:07:29.3546181510	smoke_test/data/reads_chr21/HG004.ont.chr21.smoke.fastq
39468466	2026-08-04_15:07:26.3137016100	smoke_test/data/reads_chr21/HG004.pb.chr21.smoke.fastq
1012547	2026-08-04_14:56:33.2826223680	smoke_test/data/reference/chr21_1mb.fasta
123988655	2026-08-04_16:12:02.6722133070	smoke_test/data/verkko_official/ecoli_hifi_subset24x.fastq.gz
255913692	2026-08-04_16:12:29.7246388620	smoke_test/data/verkko_official/ecoli_ont_subset50x.fastq.gz
