path	file_size_bytes	sha256	compression	fastq_status	reads	bases	min_length	mean_length	max_length	problem_records	notes
data/reads/HG002.ont.1k.fastq.gz	13419506	326f3e21cb68c21af7e6315bb8bae9297b10361042416828be1cebedf3042b82	PASS	PASS	1000	18663418	207	18663.42	315783	0	none
data/reads/HG002.pb.1k.fastq.gz	5228577	80f10e46d24bdc4267cfc4617542260b49ec4d17fc1324fe0712576e22a24351	PASS	PASS	1000	13469698	791	13469.70	32674	0	none
data/reads/HG003.ont.1k.fastq.gz	8876237	fa08fe25c9a4713c30a7c628e31e8763c972b49d72044c777115834f91c4e375	PASS	PASS	1000	12808634	71	12808.63	74299	0	none
data/reads/HG003.pb.1k.fastq.gz	5537022	b30c9350d9857f90c227ad3c7e3a7f6d0d9987ce9aa2615bab4daaa3d8c5c046	PASS	PASS	1000	14032604	1663	14032.60	32907	0	none
data/reads/HG004.ont.1k.fastq.gz	9451698	21c6ed4ebe8211747b8c6e2c70919f91954164324b4c30a9358711705ddb284c	PASS	PASS	1000	13605899	51	13605.90	78490	0	none
data/reads/HG004.pb.1k.fastq.gz	5898485	0f2e184bdd957cc15777dc5bb7035306de7630e7c9753f22698d7ccbe931137d	PASS	PASS	1000	14370953	1914	14370.95	32998	0	none
smoke_test/data/reads/HG002.ont.smoke.fastq	60064656	744acff6827a8c982d1065b2ea78b34011939649bddb07bdd98d175d24be92e3	NOT_APPLICABLE	PASS	2000	30000000	15000	15000.00	15000	0	none
smoke_test/data/reads/HG002.pb.smoke.fastq	78519067	22a12cdaa9f5b98b3da62f722cb08655e815ef1f97f78ad9b80fe39516b113ea	NOT_APPLICABLE	PASS	1961	39220000	20000	20000.00	20000	0	none
smoke_test/data/reads/HG003.ont.smoke.fastq	60064655	87dca28afcac2be4e6fbb72f22cb5c0c79f7717921e26794d7471cfa22e069e3	NOT_APPLICABLE	PASS	2000	30000000	15000	15000.00	15000	0	none
smoke_test/data/reads/HG003.pb.smoke.fastq	78519067	9c02470e57a2d01a96040e6dbe47b996f0971db535315a674c1bb0ab2ca64a0d	NOT_APPLICABLE	PASS	1961	39220000	20000	20000.00	20000	0	none
smoke_test/data/reads/HG004.ont.smoke.fastq	60064649	1dfa119881be6132515a118dca6fb5d141b38509b9f14207596da2f13bb6dd55	NOT_APPLICABLE	PASS	2000	30000000	15000	15000.00	15000	0	none
smoke_test/data/reads/HG004.pb.smoke.fastq	78519067	956fd440df32d2976b598dcaab345da222d637c600a2a22aaf0f98f6d69dc1c0	NOT_APPLICABLE	PASS	1961	39220000	20000	20000.00	20000	0	none
smoke_test/data/reads_chr21/HG002.ont.chr21.smoke.fastq	39277165	841a2c273399cf624c42cc1936d2d6b25feb2d3dd633e0cf53325254e334224c	NOT_APPLICABLE	PASS	981	19620000	20000	20000.00	20000	0	none
smoke_test/data/reads_chr21/HG002.pb.chr21.smoke.fastq	39468466	8a68ec59241469a41854a267d418ee686af43c6ef426bd4241126846f940c495	NOT_APPLICABLE	PASS	1314	19710000	15000	15000.00	15000	0	none
smoke_test/data/reads_chr21/HG003.ont.chr21.smoke.fastq	39277165	aed93b95b07eca861a94a7c1816f88f83d2c6b59d3232632513f37ed75936b9a	NOT_APPLICABLE	PASS	981	19620000	20000	20000.00	20000	0	none
smoke_test/data/reads_chr21/HG003.pb.chr21.smoke.fastq	39468466	bb1dc4572e5b134e6884aaf5bf047281608a4b047f80cfe04f6848c213b8170e	NOT_APPLICABLE	PASS	1314	19710000	15000	15000.00	15000	0	none
smoke_test/data/reads_chr21/HG004.ont.chr21.smoke.fastq	39277165	b135ccdf954d11104f4f5134c36ebcebed0e5fec27298a7074c0851ef768a862	NOT_APPLICABLE	PASS	981	19620000	20000	20000.00	20000	0	none
smoke_test/data/reads_chr21/HG004.pb.chr21.smoke.fastq	39468466	bf54d2699514f553f13feffb2d0de7b6af81284f75f56d4de80f484644f8b10b	NOT_APPLICABLE	PASS	1314	19710000	15000	15000.00	15000	0	none
smoke_test/data/verkko_official/ecoli_hifi_subset24x.fastq.gz	123988655	1fe94a1b2e1727836059795cee6ee120a2f535959ae3c7f21919386af99705da	PASS	PASS	8959	130389420	1039	14554.01	19588	0	none
smoke_test/data/verkko_official/ecoli_ont_subset50x.fastq.gz	255913692	be6a0024031efaaf5bdddede9a30dd18ef97ff62ef93b811d2df9cde829bd714	PASS	PASS	37500	236571388	8	6308.57	785151	0	none
